timestamp,event,data
1787278254.873144627,TSP_CREATED,"{""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:10:54.873162+00:00""}"
1787278254.893549919,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:10:54.893560+00:00""}"
1787278254.894111156,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 38, 36, 12, 13, 14, 18, 17, 21, 22, 28, 34, 33, 27, 26, 32, 31, 25, 24, 30, 29, 23, 19, 20], ""wall_time_utc"": ""2026-08-21T02:10:54.894224+00:00""}"
52.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:11:47.228788+00:00""}"
52.200000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 8, ""wall_time_utc"": ""2026-08-21T02:11:47.229499+00:00""}"
52.200000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Set newGoal 7"", ""node"": ""/Navigator"", ""vertex"": 7, ""wall_time_utc"": ""2026-08-21T02:11:47.229649+00:00""}"
53.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:11:48.245046+00:00""}"
59.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:11:54.255700+00:00""}"
65.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:00.244886+00:00""}"
65.200000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 7, ""wall_time_utc"": ""2026-08-21T02:12:00.246126+00:00""}"
65.200000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Explore Goal 7 's frontiers..."", ""node"": ""/Navigator"", ""vertex"": 7, ""wall_time_utc"": ""2026-08-21T02:12:00.254627+00:00""}"
71.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:06.249577+00:00""}"
71.200000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Set newGoal 6"", ""node"": ""/Navigator"", ""vertex"": 6, ""wall_time_utc"": ""2026-08-21T02:12:06.250554+00:00""}"
77.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:12.268921+00:00""}"
83.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:18.269419+00:00""}"
89.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:24.276802+00:00""}"
89.300000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 6, ""wall_time_utc"": ""2026-08-21T02:12:24.277962+00:00""}"
89.300000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Explore Goal 6 's frontiers..."", ""node"": ""/Navigator"", ""vertex"": 6, ""wall_time_utc"": ""2026-08-21T02:12:24.279344+00:00""}"
91.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:26.288440+00:00""}"
91.300000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Set newGoal 5"", ""node"": ""/Navigator"", ""vertex"": 5, ""wall_time_utc"": ""2026-08-21T02:12:26.289378+00:00""}"
97.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:32.284392+00:00""}"
103.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:38.302539+00:00""}"
109.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:44.292718+00:00""}"
115.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:50.341775+00:00""}"
121.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:12:56.360305+00:00""}"
127.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:02.373596+00:00""}"
127.400000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 5, ""wall_time_utc"": ""2026-08-21T02:13:02.374851+00:00""}"
127.400000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Explore Goal 5 's frontiers..."", ""node"": ""/Navigator"", ""vertex"": 5, ""wall_time_utc"": ""2026-08-21T02:13:02.377287+00:00""}"
129.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:04.320857+00:00""}"
129.300000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Set newGoal 4"", ""node"": ""/Navigator"", ""vertex"": 4, ""wall_time_utc"": ""2026-08-21T02:13:04.322046+00:00""}"
135.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:10.313989+00:00""}"
141.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:16.322564+00:00""}"
147.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:22.390708+00:00""}"
153.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:28.408297+00:00""}"
159.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:34.318163+00:00""}"
165.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:40.399607+00:00""}"
165.400000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 4, ""wall_time_utc"": ""2026-08-21T02:13:40.400804+00:00""}"
165.400000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Explore Goal 4 's frontiers..."", ""node"": ""/Navigator"", ""vertex"": 4, ""wall_time_utc"": ""2026-08-21T02:13:40.404249+00:00""}"
171.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 4"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:46.419436+00:00""}"
171.400000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Set newGoal 3"", ""node"": ""/Navigator"", ""vertex"": 3, ""wall_time_utc"": ""2026-08-21T02:13:46.420835+00:00""}"
177.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 5"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:52.418457+00:00""}"
183.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 5"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:13:58.338553+00:00""}"
189.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 5"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:14:04.359842+00:00""}"
189.300000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 3, ""wall_time_utc"": ""2026-08-21T02:14:04.360831+00:00""}"
189.300000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Explore Goal 3 's frontiers..."", ""node"": ""/Navigator"", ""vertex"": 3, ""wall_time_utc"": ""2026-08-21T02:14:04.362556+00:00""}"
191.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 5"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:14:06.382861+00:00""}"
191.400000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Explore Goal 3 's frontiers..."", ""node"": ""/Navigator"", ""vertex"": 3, ""wall_time_utc"": ""2026-08-21T02:14:06.385303+00:00""}"
193.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 5"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:14:08.473923+00:00""}"
193.500000000,HIGH_LEVEL_GOAL,"{""is_loop"": false, ""message"": ""Set newGoal 9"", ""node"": ""/Navigator"", ""vertex"": 9, ""wall_time_utc"": ""2026-08-21T02:14:08.475270+00:00""}"
199.400000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 6"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:14:14.453993+00:00""}"
205.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 6"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:14:20.363829+00:00""}"
