timestamp,event,data
1787279338.014575005,TSP_CREATED,"{""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:28:58.014596+00:00""}"
1787279338.185804129,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:28:58.185821+00:00""}"
1787279338.191846609,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 20, 19, 15, 19, 23, 29, 30, 24, 25, 31, 32, 26, 27, 33, 34, 28, 22, 21, 38, 26, 38, 36, 35, 36, 12, 13, 17, 18, 22, 18, 14, 8], ""wall_time_utc"": ""2026-08-21T02:28:58.191988+00:00""}"
1787279338.192360163,LOOP_INSERTED,"{""node"": ""/Navigator"", ""path_index"": 15, ""vertex"": 15, ""wall_time_utc"": ""2026-08-21T02:28:58.192392+00:00""}"
1787279338.192360163,LOOP_INSERTED,"{""node"": ""/Navigator"", ""path_index"": 32, ""vertex"": 26, ""wall_time_utc"": ""2026-08-21T02:28:58.192440+00:00""}"
1787279338.192360163,LOOP_INSERTED,"{""node"": ""/Navigator"", ""path_index"": 35, ""vertex"": 35, ""wall_time_utc"": ""2026-08-21T02:28:58.192461+00:00""}"
1787279338.192360163,LOOP_INSERTED,"{""node"": ""/Navigator"", ""path_index"": 41, ""vertex"": 22, ""wall_time_utc"": ""2026-08-21T02:28:58.192479+00:00""}"
1787279338.192360163,LOOP_INSERTED,"{""node"": ""/Navigator"", ""path_index"": 44, ""vertex"": 8, ""wall_time_utc"": ""2026-08-21T02:28:58.192496+00:00""}"
45.000000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""node"": ""/path_planner"", ""wall_time_utc"": ""2026-08-21T02:29:43.598275+00:00""}"
45.000000000,GOAL_REACHED,"{""node"": ""/Navigator"", ""vertex"": 8, ""wall_time_utc"": ""2026-08-21T02:29:43.601267+00:00""}"
