actual_end_time,actual_start_time,ape_rmse_m_cumulative_after,ape_rmse_m_cumulative_before,ape_rmse_m_cumulative_delta,evo_status,executed_loop,extra_distance_m,extra_time_s,fallback,karto_accepted_loop_events,karto_marker_edge_delta_auxiliary,loop_id,loop_vertex,new_edges_beyond_70_scan_buffer,pair,planned_loop_path_file,planned_start_time,pose_graph_edge_delta,pose_graph_node_delta,reliable_loop_service_success,rpe_rot_rmse_deg_cumulative_after,rpe_rot_rmse_deg_cumulative_before,rpe_rot_rmse_deg_cumulative_delta,rpe_trans_rmse_m_cumulative_after,rpe_trans_rmse_m_cumulative_before,rpe_trans_rmse_m_cumulative_delta,snapshot_after,snapshot_before,successful_slam_loop,waypoints_planned,waypoints_reached
499.0,448.9,0.105161,0.102566,0.002595,COMPUTED,True,16.635796216436642,50.10000000000002,False,0,12,1,15,0,1,pair_01/slam_aware/loops.json,442.8,13,11,True,0.625028,0.650707,-0.025679000000000007,0.04226,0.042688,-0.0004279999999999978,loop_snapshots/loop_01_after.json,loop_snapshots/loop_01_before.json,False,6,6
924.9,835.8,0.148287,0.141519,0.006767999999999996,COMPUTED,True,28.018128875117796,89.10000000000002,False,0,19,2,11,0,1,pair_01/slam_aware/loops.json,830.0,16,16,True,0.520157,0.515697,0.0044600000000000195,0.042646,0.041885,0.0007610000000000047,loop_snapshots/loop_02_after.json,loop_snapshots/loop_02_before.json,False,5,5
1067.2,1022.8,0.594035,0.415176,0.178859,COMPUTED,True,20.45533149824917,44.40000000000009,False,0,21,3,8,0,1,pair_01/slam_aware/loops.json,1020.8,6,6,True,0.483249,0.493418,-0.010169000000000039,0.041003,0.041626,-0.0006230000000000055,loop_snapshots/loop_03_after.json,loop_snapshots/loop_03_before.json,False,7,7
1396.0,1329.9,0.964536,0.942357,0.02217899999999995,COMPUTED,True,18.400340799144438,66.09999999999991,False,0,3,4,26,0,1,pair_01/slam_aware/loops.json,1323.9,6,6,True,0.433263,0.440587,-0.007323999999999997,0.040786,0.04113,-0.0003439999999999971,loop_snapshots/loop_04_after.json,loop_snapshots/loop_04_before.json,False,7,7
562.8,527.6,0.461417,0.291751,0.16966600000000004,COMPUTED,True,14.352861728267499,35.19999999999993,False,0,36,1,8,0,2,pair_02/slam_aware/loops.json,521.7,72,36,True,0.215582,0.220579,-0.0049970000000000014,0.04344,0.044603,-0.0011629999999999974,loop_snapshots/loop_01_after.json,loop_snapshots/loop_01_before.json,False,7,7
924.7,823.8,0.593065,0.602392,-0.009327000000000085,COMPUTED,True,23.389996803213197,100.90000000000009,False,0,10,2,38,0,2,pair_02/slam_aware/loops.json,817.8,21,21,True,0.198356,0.203439,-0.005083000000000004,0.037574,0.038192,-0.0006179999999999936,loop_snapshots/loop_02_after.json,loop_snapshots/loop_02_before.json,False,7,7
1187.7,1123.8,0.542024,0.550224,-0.008200000000000096,COMPUTED,True,28.047944830547703,63.90000000000009,False,0,4,3,16,0,2,pair_02/slam_aware/loops.json,1118.1,29,25,True,0.210454,0.210088,0.0003660000000000052,0.037739,0.037564,0.00017500000000000154,loop_snapshots/loop_03_after.json,loop_snapshots/loop_03_before.json,False,7,7
533.7,452.8,0.770722,0.662064,0.10865800000000003,COMPUTED,True,22.655619974314885,80.90000000000003,False,0,8,1,15,0,3,pair_03/slam_aware/loops.json,446.8,11,11,True,0.418289,0.41949,-0.001200999999999952,0.038951,0.039188,-0.0002370000000000011,loop_snapshots/loop_01_after.json,loop_snapshots/loop_01_before.json,False,6,6
1116.9,958.9,1.519798,1.529751,-0.0099530000000001,COMPUTED,True,37.1591136787991,158.0000000000001,False,0,19,2,37,0,3,pair_03/slam_aware/loops.json,953.0,76,56,True,0.314396,0.320239,-0.005842999999999987,0.037241,0.034913,0.0023280000000000037,loop_snapshots/loop_02_after.json,loop_snapshots/loop_02_before.json,False,5,5
1303.9,1279.1,1.480079,1.484127,-0.0040480000000000516,COMPUTED,True,8.61028780497033,24.800000000000182,False,0,41,3,8,0,3,pair_03/slam_aware/loops.json,1272.8,0,0,True,0.297972,0.299627,-0.001654999999999962,0.036369,0.036427,-5.8000000000002494e-05,loop_snapshots/loop_03_after.json,loop_snapshots/loop_03_before.json,False,7,7
1412.1,1364.0,1.476925,1.477267,-0.0003420000000000645,COMPUTED,True,21.97644703934126,48.09999999999991,False,0,12,4,21,0,3,pair_03/slam_aware/loops.json,1358.0,7,7,True,0.303805,0.291464,0.01234099999999999,0.039715,0.035623,0.004091999999999998,loop_snapshots/loop_04_after.json,loop_snapshots/loop_04_before.json,False,7,7
489.9,438.0,0.133211,0.129592,0.0036189999999999833,COMPUTED,True,15.606202375394783,51.89999999999998,False,0,17,1,15,0,4,pair_04/slam_aware/loops.json,432.0,13,10,True,0.105252,0.097902,0.007349999999999995,0.031157,0.029365,0.001792000000000002,loop_snapshots/loop_01_after.json,loop_snapshots/loop_01_before.json,False,5,5
