wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-21T03:41:21.594222+00:00,mapping,0.0,1,1,1356240,
2026-08-21T03:41:34.803036+00:00,exploration,0.0,1,1,1362956,
2026-08-21T03:42:05.126537+00:00,exploration,30.3,1,1,1372568,
2026-08-21T03:42:35.430807+00:00,exploration,60.7,1,1,1378340,
2026-08-21T03:43:05.742476+00:00,exploration,91.0,1,1,1382652,
2026-08-21T03:43:35.047384+00:00,exploration,120.3,1,1,1385088,
2026-08-21T03:44:05.345762+00:00,exploration,150.6,1,1,1393712,
2026-08-21T03:44:35.647881+00:00,exploration,180.9,1,1,1397900,
2026-08-21T03:45:04.984074+00:00,exploration,210.2,1,1,1403688,
2026-08-21T03:45:35.288899+00:00,exploration,240.5,1,1,1409832,
2026-08-21T03:46:05.597231+00:00,exploration,270.8,1,1,1414416,
2026-08-21T03:46:34.916188+00:00,exploration,300.1,1,1,1416504,
2026-08-21T03:47:05.230350+00:00,exploration,330.5,1,1,1422036,
2026-08-21T03:47:35.567794+00:00,exploration,360.8,1,1,1424924,
2026-08-21T03:48:04.899692+00:00,exploration,390.1,1,1,1429896,
2026-08-21T03:48:35.197578+00:00,exploration,420.4,1,1,1434732,
2026-08-21T03:49:05.554690+00:00,exploration,450.7,1,1,1438540,
2026-08-21T03:49:34.878181+00:00,exploration,480.1,1,1,1439552,
2026-08-21T03:50:05.184492+00:00,exploration,510.4,1,1,1442356,
2026-08-21T03:50:35.510161+00:00,exploration,540.7,1,1,1447512,
2026-08-21T03:51:04.823336+00:00,exploration,570.0,1,1,1450456,
2026-08-21T03:51:35.156058+00:00,exploration,600.4,1,1,1454112,
2026-08-21T03:52:05.495175+00:00,exploration,630.7,1,1,1456380,
2026-08-21T03:52:34.859093+00:00,exploration,660.0,1,1,1459996,
2026-08-21T03:53:05.171533+00:00,exploration,690.4,1,1,1462612,
2026-08-21T03:53:35.475976+00:00,exploration,720.7,1,1,1464996,
2026-08-21T03:54:04.782220+00:00,exploration,750.0,1,1,1466636,
2026-08-21T03:54:35.078231+00:00,exploration,780.3,1,1,1467120,
2026-08-21T03:55:05.422817+00:00,exploration,810.6,1,1,1470704,
2026-08-21T03:55:35.733397+00:00,exploration,841.0,1,1,1471732,
2026-08-21T03:56:05.079621+00:00,exploration,870.3,1,1,1474296,
2026-08-21T03:56:35.410972+00:00,exploration,900.6,1,1,1477124,
2026-08-21T03:57:05.704911+00:00,exploration,930.9,1,1,1479628,
2026-08-21T03:57:34.987801+00:00,exploration,960.2,1,1,1479228,
2026-08-21T03:58:05.351872+00:00,exploration,990.5,1,1,1486104,
2026-08-21T03:58:35.646564+00:00,exploration,1020.9,1,1,1483340,
2026-08-21T03:59:04.942798+00:00,exploration,1050.2,1,1,1487524,
2026-08-21T03:59:35.248437+00:00,exploration,1080.5,1,1,1490240,
2026-08-21T04:00:05.536832+00:00,exploration,1110.8,1,1,1492404,
2026-08-21T04:00:34.842830+00:00,exploration,1140.1,1,1,1492516,
2026-08-21T04:01:05.183640+00:00,exploration,1170.4,1,1,1495200,
2026-08-21T04:01:35.482160+00:00,exploration,1200.7,1,1,1497948,
2026-08-21T04:02:04.783970+00:00,exploration,1230.0,1,1,1504680,
2026-08-21T04:02:35.069209+00:00,exploration,1260.3,1,1,1511240,
2026-08-21T04:03:05.401353+00:00,exploration,1290.6,1,1,1513016,
2026-08-21T04:03:35.735772+00:00,exploration,1320.9,1,1,1514372,
2026-08-21T04:04:05.038933+00:00,exploration,1350.3,1,1,1516480,
