wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-21T05:46:07.507378+00:00,mapping,0.0,1,1,1354192,
2026-08-21T05:46:20.682080+00:00,exploration,0.0,1,1,1361096,
2026-08-21T05:46:50.991146+00:00,exploration,30.3,1,1,1369856,
2026-08-21T05:47:21.302426+00:00,exploration,60.6,1,1,1374032,
2026-08-21T05:47:51.616270+00:00,exploration,90.9,1,1,1379012,
2026-08-21T05:48:20.927700+00:00,exploration,120.2,1,1,1383960,
2026-08-21T05:48:51.273922+00:00,exploration,150.5,1,1,1390108,
2026-08-21T05:49:21.572523+00:00,exploration,180.9,1,1,1396064,
2026-08-21T05:49:50.862715+00:00,exploration,210.2,1,1,1401108,
2026-08-21T05:50:21.172516+00:00,exploration,240.5,1,1,1403964,
2026-08-21T05:50:51.482969+00:00,exploration,270.8,1,1,1407740,
2026-08-21T05:51:20.789275+00:00,exploration,300.1,1,1,1413636,
2026-08-21T05:51:51.130213+00:00,exploration,330.4,1,1,1416392,
2026-08-21T05:52:21.441791+00:00,exploration,360.7,1,1,1418548,
2026-08-21T05:52:50.745348+00:00,exploration,390.0,1,1,1419676,
2026-08-21T05:53:21.060432+00:00,exploration,420.3,1,1,1423780,
2026-08-21T05:53:51.392160+00:00,exploration,450.7,1,1,1426076,
2026-08-21T05:54:21.690734+00:00,exploration,481.0,1,1,1434504,
2026-08-21T05:54:50.989901+00:00,exploration,510.3,1,1,1442316,
2026-08-21T05:55:21.298855+00:00,exploration,540.6,1,1,1444856,
2026-08-21T05:55:51.591682+00:00,exploration,570.9,1,1,1445408,
2026-08-21T05:56:20.893867+00:00,exploration,600.2,1,1,1448640,
2026-08-21T05:56:51.210776+00:00,exploration,630.5,1,1,1450380,
2026-08-21T05:57:21.534834+00:00,exploration,660.8,1,1,1455508,
2026-08-21T05:57:50.839937+00:00,exploration,690.1,1,1,1459016,
2026-08-21T05:58:21.178899+00:00,exploration,720.4,1,1,1468164,
2026-08-21T05:58:51.482711+00:00,exploration,750.8,1,1,1467984,
2026-08-21T05:59:20.767855+00:00,exploration,780.1,1,1,1469568,
2026-08-21T05:59:51.066633+00:00,exploration,810.4,1,1,1470876,
