timestamp,event,data
1787292876.420884848,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-21T06:14:36.420922+00:00""}"
1787292876.425552130,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 20, 19, 15, 19, 23, 29, 30, 24, 25, 31, 32, 26, 27, 33, 34, 28, 22, 21, 38, 26, 38, 36, 35, 36, 12, 13, 17, 18, 22, 18, 14, 8], ""wall_time_utc"": ""2026-08-21T06:14:36.425691+00:00""}"
1787292876.425766468,LOOP_INSERTED,"{""path_index"": 15, ""vertex"": 15, ""wall_time_utc"": ""2026-08-21T06:14:36.425791+00:00""}"
1787292876.425766468,LOOP_INSERTED,"{""path_index"": 32, ""vertex"": 26, ""wall_time_utc"": ""2026-08-21T06:14:36.425812+00:00""}"
1787292876.425766468,LOOP_INSERTED,"{""path_index"": 35, ""vertex"": 35, ""wall_time_utc"": ""2026-08-21T06:14:36.425826+00:00""}"
1787292876.425766468,LOOP_INSERTED,"{""path_index"": 41, ""vertex"": 22, ""wall_time_utc"": ""2026-08-21T06:14:36.425838+00:00""}"
1787292876.425766468,LOOP_INSERTED,"{""path_index"": 44, ""vertex"": 8, ""wall_time_utc"": ""2026-08-21T06:14:36.425850+00:00""}"
17.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:14:54.076364+00:00""}"
17.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-21T06:14:54.078710+00:00""}"
17.500000000,GOAL_REACHED,"{""vertex"": 8, ""wall_time_utc"": ""2026-08-21T06:14:54.081078+00:00""}"
17.500000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 8. #Frontier: 0"", ""wall_time_utc"": ""2026-08-21T06:14:54.081170+00:00""}"
18.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:14:55.076867+00:00""}"
18.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-21T06:14:55.078803+00:00""}"
24.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:01.070797+00:00""}"
24.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-21T06:15:01.072228+00:00""}"
30.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:07.091510+00:00""}"
30.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-21T06:15:07.093511+00:00""}"
30.500000000,GOAL_REACHED,"{""vertex"": 7, ""wall_time_utc"": ""2026-08-21T06:15:07.096131+00:00""}"
30.500000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 7. #Frontier: 0"", ""wall_time_utc"": ""2026-08-21T06:15:07.096215+00:00""}"
36.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:13.127830+00:00""}"
36.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-21T06:15:13.129770+00:00""}"
42.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:19.104781+00:00""}"
42.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-21T06:15:19.106951+00:00""}"
48.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:25.120439+00:00""}"
48.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-21T06:15:25.122476+00:00""}"
54.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:31.107724+00:00""}"
54.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-21T06:15:31.109637+00:00""}"
54.500000000,GOAL_REACHED,"{""vertex"": 6, ""wall_time_utc"": ""2026-08-21T06:15:31.111661+00:00""}"
56.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:33.124610+00:00""}"
56.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-21T06:15:33.126528+00:00""}"
58.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:35.124729+00:00""}"
58.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-21T06:15:35.126599+00:00""}"
58.600000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 6. #Frontier: 0"", ""wall_time_utc"": ""2026-08-21T06:15:35.129387+00:00""}"
64.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:41.124902+00:00""}"
64.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-21T06:15:41.126849+00:00""}"
70.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:47.174897+00:00""}"
70.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-21T06:15:47.176734+00:00""}"
76.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:53.127066+00:00""}"
76.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-21T06:15:53.128845+00:00""}"
82.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:15:59.153102+00:00""}"
82.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-21T06:15:59.154938+00:00""}"
88.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-21T06:16:05.199521+00:00""}"
