pair,loop_id,primary_failure_category,evidence_level,rationale,karto_keyscan_timing,reconstructed_candidate_chain_count,actual_to_history_min_distance_m,heading_difference_at_min_distance_rad,active_loop_trajectory_overlap_ratio_1m,accepted_karto_loop_events
1,1,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.022081237223803382,2.240368853981528,0.3997293426796936,0
1,2,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.020306722083469706,0.2915517542677746,0.2989414465120186,0
1,3,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.4551935128280598,1.7496328441542097,0.22571702086339152,0
1,4,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.7988931053028274,0.06640118305221776,0.2100809682805247,0
2,1,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.5557432070821406,2.683503960365613,0.5651722695056565,0
2,2,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.09431898027112741,1.0833939519440943,0.21804179137436933,0
2,3,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.04951393880132707,0.10694045759488757,0.2728026129665648,0
3,1,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.498330412398793,0.07466590792553607,0.28466962184250055,0
3,2,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.8705861014531819,2.1528023860767664,0.0659504068056062,0
3,3,F. Unknown,Unknown,"The incremental pose-graph publication placed the first new keyscan batch after the recorded loop interval, so candidate and matcher attribution cannot be aligned reliably.",AmbiguousPostLoopBatch,1,0.3561746026390276,2.3048604347731754,0.47324892330180585,0
3,4,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.4712485276181446,0.6904376203671161,0.2611415962589203,0
4,1,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.027082004107520045,0.14070349984393848,0.37360700963163657,0
4,2,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.0889648830503921,2.981313660578971,0.33741933910099375,0
4,3,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.06597962696280894,0.011131680717016312,0.44779810456817415,0
4,4,F. Unknown,Unknown,"The incremental pose-graph publication placed the first new keyscan batch after the recorded loop interval, so candidate and matcher attribution cannot be aligned reliably.",AmbiguousPostLoopBatch,0,0.0922354467334935,0.1515726865078233,0.34998420351903525,0
4,5,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.027992642409652,1.2368478246317394,0.3199819532608319,0
5,1,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.022975696755379242,0.2146616088465816,0.37021239424904395,0
5,2,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.013742199101524574,2.2452091943438566,0.3181891387778909,0
5,3,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.21260546440430467,0.3291777379608267,0.4149587281144248,0
5,4,C. Opportunity failure,Probable,"A Karto keyscan was observed during execution, but the saved graph/poses reconstruct no eligible historical chain of at least four scans within 4 m after near-linked exclusion.",ObservedWithinLoopWindow,0,0.11850828170946806,0.04722011334200804,0.3485905942811629,0
5,5,D. Matching failure,Probable,"A Karto keyscan and at least one eligible historical candidate chain are reconstructed, but Karto emitted no accepted-loop event; rejected coarse/fine responses were not logged.",ObservedWithinLoopWindow,1,0.015012951480239388,1.0023664346634131,0.3172105209229451,0
