pair,method,total_true_loop_constraints,passive_loop_constraints,planned_active_loop_constraints,unknown_loop_constraints,closure_scan_index_gaps,closure_times_positions,auxiliary_edges_gap_gt70_count,auxiliary_edges_gap_gt70_distribution,maximum_auxiliary_edge_gap,closure_marker_final_count_auxiliary,accepted_loop_log_count
1,prior_tsp,0,0,0,0,[],[],0,[],37,161,0
1,slam_aware,0,0,0,0,[],[],1,[115],115,290,0
2,prior_tsp,0,0,0,0,[],[],0,[],63,191,0
2,slam_aware,0,0,0,0,[],[],0,[],44,265,0
3,prior_tsp,0,0,0,0,[],[],0,[],67,197,0
3,slam_aware,0,0,0,0,[],[],0,[],68,324,0
4,prior_tsp,0,0,0,0,[],[],0,[],40,162,0
4,slam_aware,0,0,0,0,[],[],2,"[116, 116]",116,380,0
5,prior_tsp,0,0,0,0,[],[],0,[],52,166,0
5,slam_aware,0,0,0,0,[],[],12,"[97, 100, 108, 108, 110, 110, 110, 120, 121, 121, 122, 122]",122,328,0
