wall_time_utc,stage,elapsed_wall_s,launch_alive,driver_alive,rss_kb,missing_core_nodes
2026-08-21T08:00:28.411216+00:00,mapping,0.0,1,1,1352620,
2026-08-21T08:00:41.712607+00:00,history_exploration,0.0,1,1,1360264,
2026-08-21T08:01:12.049819+00:00,history_exploration,30.3,1,1,1369252,
2026-08-21T08:01:42.382286+00:00,history_exploration,60.7,1,1,1374532,
2026-08-21T08:02:11.686031+00:00,history_exploration,90.0,1,1,1379032,
2026-08-21T08:02:41.983226+00:00,history_exploration,120.3,1,1,1387180,
2026-08-21T08:03:12.326412+00:00,history_exploration,150.6,1,1,1390860,
2026-08-21T08:03:42.652686+00:00,history_exploration,181.0,1,1,1397264,
2026-08-21T08:04:11.990698+00:00,history_exploration,210.3,1,1,1399944,
2026-08-21T08:04:42.289896+00:00,history_exploration,240.6,1,1,1405840,
2026-08-21T08:05:12.586369+00:00,history_exploration,270.9,1,1,1413892,
2026-08-21T08:05:41.885016+00:00,history_exploration,300.2,1,1,1417668,
2026-08-21T08:06:12.193806+00:00,history_exploration,330.5,1,1,1422788,
2026-08-21T08:06:42.486990+00:00,history_exploration,360.8,1,1,1426080,
2026-08-21T08:07:11.788470+00:00,history_exploration,390.1,1,1,1428304,
2026-08-21T08:07:42.086522+00:00,history_exploration,420.4,1,1,1432452,
2026-08-21T08:08:12.383493+00:00,history_exploration,450.7,1,1,1435732,
2026-08-21T08:08:41.680557+00:00,history_exploration,480.0,1,1,1439584,
2026-08-21T08:09:12.029137+00:00,history_exploration,510.3,1,1,1443532,
2026-08-21T08:09:42.337263+00:00,history_exploration,540.7,1,1,1447268,
2026-08-21T08:10:12.651047+00:00,history_exploration,571.0,1,1,1451488,
2026-08-21T08:10:41.961808+00:00,history_exploration,600.3,1,1,1455260,
2026-08-21T08:11:12.306412+00:00,history_exploration,630.6,1,1,1457188,
2026-08-21T08:11:42.625085+00:00,history_exploration,660.9,1,1,1463624,
2026-08-21T08:12:11.911670+00:00,history_exploration,690.2,1,1,1464840,
2026-08-21T08:12:42.223063+00:00,history_exploration,720.5,1,1,1466184,
2026-08-21T08:13:12.552309+00:00,history_exploration,750.8,1,1,1469364,
2026-08-21T08:13:41.894851+00:00,history_exploration,780.2,1,1,1471688,
2026-08-21T08:13:43.166079+00:00,positive_revisit,0.0,1,1,1471688,
2026-08-21T08:14:13.515497+00:00,positive_revisit,30.3,1,1,1480576,
2026-08-21T08:14:43.817367+00:00,positive_revisit,60.6,1,1,1482788,
2026-08-21T08:15:14.154539+00:00,positive_revisit,91.0,1,1,1484900,
2026-08-21T08:15:43.505066+00:00,positive_revisit,120.3,1,1,1485160,
2026-08-21T08:16:13.799477+00:00,positive_revisit,150.6,1,1,1485160,
2026-08-21T08:16:44.125528+00:00,positive_revisit,180.9,1,1,1485164,
2026-08-21T08:17:13.475215+00:00,positive_revisit,210.3,1,1,1485428,
2026-08-21T08:17:43.788687+00:00,positive_revisit,240.6,1,1,1485428,
2026-08-21T08:18:14.121421+00:00,positive_revisit,270.9,1,1,1485428,
2026-08-21T08:18:43.426411+00:00,positive_revisit,300.2,1,1,1485692,
2026-08-21T08:19:13.726444+00:00,positive_revisit,330.6,1,1,1485692,
2026-08-21T08:19:44.031755+00:00,positive_revisit,360.9,1,1,1485692,
2026-08-21T08:20:13.336827+00:00,positive_revisit,390.2,1,1,1485956,
2026-08-21T08:20:43.643614+00:00,positive_revisit,420.5,1,1,1485956,
2026-08-21T08:21:13.934300+00:00,positive_revisit,450.8,1,1,1485960,
2026-08-21T08:21:43.274202+00:00,positive_revisit,480.1,1,1,1486236,
