run,seed,loop_id,loop_vertex,reliable_source,history_pose_count,history_poses,actual_to_history_min_distance_m,delta_yaw_at_closest_rad,overlap_ratio_1m,interval_valid,aligned_keyscan_ids,current_scan,scan_gap_min,scan_gap_max,candidate_count_max,near_linked_filtered_max,candidate_chain_count_total,max_chain_size,best_coarse_response,min_coarse_variance_x,min_coarse_variance_y,best_fine_response,coarse_attempted_count,fine_attempted_count,karto_accepted_callbacks_in_run,accepted,failure_class,failure_subclass,evidence_level,deepest_stage_reached,record_vote_tally,direct_evidence
seed_21001,21001,1,15,reliable_loop_service,6,"[[20.553, 56.809], [21.211, 56.118], [21.755, 55.238], [22.009, 54.193], [22.027, 53.275], [21.935, 52.301]]",0.09721839250687203,-0.26994620462718544,0.4467120181405896,True,"[261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280]",280,103,138,10,10,17,8,0.381931,0.002618,0.011152,,15,0,1,False,D,D1,Confirmed,COARSE,"{""C2"": 1, ""C3"": 6, ""D1"": 15}",coarse/fine rejected: scan_id=276 chain_size=4 coarse_response=0.3819 required=0.60 cov_x=0.0026 cov_y=0.0112 required_var=0.16 reason=COARSE_LOW_RESPONSE
seed_21001,21001,2,11,reliable_loop_service,3,"[[14.256, 37.823], [14.94, 37.157], [15.622, 36.483]]",0.1282447069748294,0.10358043948802498,0.22661122661122662,True,"[454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479]",479,29,415,13,6,12,8,0.375738,0.556293,0.408705,,11,0,1,False,C,C3,Confirmed,COARSE,"{""C3"": 16, ""D1"": 11}",no valid chain: scan_id=465 in_distance=13 near_linked=4 required_chain_size=4 reason=CHAIN_TOO_SHORT
seed_21001,21001,3,8,reliable_loop_service,7,"[[0.2, 0.0], [0.99, -0.123], [0.901, -0.187], [0.783, -0.195], [0.671, -0.115], [0.631, -0.024], [0.66, 0.103]]",0.03402083899872336,3.020611484822009,0.745819397993311,True,"[519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545]",545,511,514,21,16,1,4,0.477414,0.009753,0.002095,,1,0,1,False,C,C3,Confirmed,COARSE,"{""C3"": 26, ""D1"": 1}",no valid chain: scan_id=544 in_distance=21 near_linked=16 required_chain_size=4 reason=CHAIN_TOO_SHORT
seed_21001,21001,4,26,reliable_loop_service,6,"[[46.089, 21.326], [45.124, 21.33], [44.163, 21.333], [43.201, 21.337], [42.242, 21.339], [41.279, 21.328]]",0.01129354737715545,-0.1810189956281274,0.3524962178517398,True,"[651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 675, 676, 677, 678, 679]",679,91,464,10,5,19,8,0.657303,0.000233,0.000238,0.927436,18,1,1,True,S,S,Confirmed,ACCEPTED,,accepted: scan_id=679 chain_size=6 coarse_response=0.6573 fine_response=0.9274 min_gap=245
seed_21002,21002,1,8,reliable_loop_service,7,"[[0.2, 0.0], [0.984, -0.129], [0.885, -0.193], [0.767, -0.189], [0.671, -0.12], [0.632, 0.002], [0.663, 0.112]]",0.10380611615744459,1.6457311500588094,0.7008797653958945,True,"[283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315]",315,30,297,16,10,4,6,0.49283,0.002029,0.009739,,4,0,0,False,C,C3,Confirmed,COARSE,"{""C2"": 4, ""C3"": 25, ""D1"": 4}",no valid chain: scan_id=303 in_distance=16 near_linked=8 required_chain_size=4 reason=CHAIN_TOO_SHORT
seed_21002,21002,2,38,reliable_loop_service,7,"[[34.224, 22.045], [33.395, 21.38], [32.456, 21.116], [31.488, 21.16], [30.512, 21.252], [29.553, 21.32], [28.589, 21.347]]",0.017074024984464132,-0.0098287412245881,0.30038510911424904,True,"[466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486]",486,235,289,10,6,7,5,0.375771,0.012892,0.002661,,6,0,0,False,C,C3,Confirmed,COARSE,"{""C2"": 3, ""C3"": 13, ""D1"": 6}",no valid chain: scan_id=478 in_distance=10 near_linked=5 required_chain_size=4 reason=CHAIN_TOO_SHORT
seed_21002,21002,3,16,reliable_loop_service,7,"[[20.94, 46.71], [20.204, 45.967], [19.463, 45.219], [18.816, 44.589], [18.064, 43.97], [17.239, 43.433], [16.22, 43.072]]",0.15344695608743808,0.05654942605065827,0.23537803138373753,True,"[619, 620, 621, 622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 646]",646,454,468,10,6,13,8,0.490266,0.00204,0.00204,,13,0,0,False,C,C3,Confirmed,COARSE,"{""C3"": 15, ""D1"": 13}",no valid chain: scan_id=626 in_distance=10 near_linked=6 required_chain_size=4 reason=CHAIN_TOO_SHORT
seed_21003,21003,1,15,reliable_loop_service,5,"[[20.456, 56.162], [21.134, 55.473], [21.702, 54.665], [21.982, 53.67], [22.014, 52.74]]",0.2403651106653543,0.30129187893163256,0.3107638888888889,True,"[238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261]",261,82,133,14,7,15,7,0.400866,0.003127,0.004442,,15,0,1,False,D,D1,Confirmed,COARSE,"{""C2"": 1, ""C3"": 8, ""D1"": 15}",coarse/fine rejected: scan_id=256 chain_size=4 coarse_response=0.4009 required=0.60 cov_x=0.0063 cov_y=0.3017 required_var=0.16 reason=COARSE_LOW_RESPONSE
seed_21003,21003,2,37,reliable_loop_service,5,"[[30.992, 36.405], [31.683, 37.1], [32.379, 37.8], [33.036, 38.473], [33.665, 39.215]]",0.08973292397782016,0.09733766897171392,0.1421188630490956,True,"[465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503]",503,161,300,14,7,6,6,0.322109,0.003727,0.083047,,5,0,1,False,C,C3,Confirmed,COARSE,"{""C2"": 6, ""C3"": 29, ""D1"": 5}",no valid chain: scan_id=494 in_distance=14 near_linked=7 required_chain_size=4 reason=CHAIN_TOO_SHORT
seed_21003,21003,3,8,reliable_loop_service,7,"[[0.2, 0.0], [0.983, -0.129], [0.863, -0.203], [0.746, -0.187], [0.658, -0.108], [0.63, -0.004], [0.67, 0.121]]",0.20307688528096693,-1.9691860964575367,0.5884244372990354,True,"[560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589]",589,37,565,21,13,2,4,0.473629,0.002111,0.009575,,2,0,1,False,C,C3,Confirmed,COARSE,"{""C2"": 1, ""C3"": 27, ""D1"": 2}",no valid chain: scan_id=587 in_distance=21 near_linked=13 required_chain_size=4 reason=CHAIN_TOO_SHORT
