timestamp,event,data
1787382823.833990812,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-22T07:13:43.834014+00:00""}"
1787382823.836562872,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 38, 36, 12, 13, 14, 8, 14, 18, 17, 21, 22, 28, 34, 33, 27, 26, 38, 26, 32, 31, 25, 24, 30, 29, 23, 19, 20, 16], ""wall_time_utc"": ""2026-08-22T07:13:43.836688+00:00""}"
1787382823.836800814,LOOP_INSERTED,"{""path_index"": 18, ""vertex"": 8, ""wall_time_utc"": ""2026-08-22T07:13:43.836826+00:00""}"
1787382823.836800814,LOOP_INSERTED,"{""path_index"": 29, ""vertex"": 38, ""wall_time_utc"": ""2026-08-22T07:13:43.836854+00:00""}"
1787382823.836800814,LOOP_INSERTED,"{""path_index"": 40, ""vertex"": 16, ""wall_time_utc"": ""2026-08-22T07:13:43.836870+00:00""}"
13.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:14:01.228363+00:00""}"
13.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-22T07:14:01.230030+00:00""}"
13.800000000,GOAL_REACHED,"{""vertex"": 8, ""wall_time_utc"": ""2026-08-22T07:14:01.233752+00:00""}"
13.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 8. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T07:14:01.233795+00:00""}"
14.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:14:06.254695+00:00""}"
14.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T07:14:06.256895+00:00""}"
20.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:14:36.278249+00:00""}"
20.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T07:14:36.280273+00:00""}"
26.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:15:06.280323+00:00""}"
26.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T07:15:06.282440+00:00""}"
26.800000000,GOAL_REACHED,"{""vertex"": 7, ""wall_time_utc"": ""2026-08-22T07:15:06.303672+00:00""}"
29.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:15:21.302896+00:00""}"
29.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T07:15:21.304858+00:00""}"
32.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:15:36.280573+00:00""}"
32.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T07:15:36.282929+00:00""}"
32.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 7. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T07:15:36.302636+00:00""}"
38.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:16:06.309042+00:00""}"
38.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T07:16:06.311235+00:00""}"
44.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:16:35.303396+00:00""}"
44.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T07:16:35.305652+00:00""}"
50.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:17:06.276569+00:00""}"
50.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T07:17:06.278683+00:00""}"
56.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:17:36.282635+00:00""}"
56.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T07:17:36.284629+00:00""}"
62.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:18:06.284662+00:00""}"
62.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T07:18:06.286744+00:00""}"
62.800000000,GOAL_REACHED,"{""vertex"": 6, ""wall_time_utc"": ""2026-08-22T07:18:06.303820+00:00""}"
64.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:18:16.285911+00:00""}"
64.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T07:18:16.288227+00:00""}"
64.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 6. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T07:18:16.303978+00:00""}"
70.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:18:46.299304+00:00""}"
70.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-22T07:18:46.301451+00:00""}"
76.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:19:16.353850+00:00""}"
76.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-22T07:19:16.356049+00:00""}"
82.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:19:46.356520+00:00""}"
82.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 3"", ""wall_time_utc"": ""2026-08-22T07:19:46.358680+00:00""}"
88.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T07:20:16.365369+00:00""}"
