wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-22T07:13:48.338499+00:00,mapping,0.0,1,1,1361332,
2026-08-22T07:14:01.510580+00:00,exploration,0.0,1,1,1368056,
2026-08-22T07:14:31.813224+00:00,exploration,30.3,1,1,1369512,
2026-08-22T07:15:02.138400+00:00,exploration,60.6,1,1,1373164,
2026-08-22T07:15:32.445999+00:00,exploration,90.9,1,1,1375492,
2026-08-22T07:16:01.771586+00:00,exploration,120.2,1,1,1376032,
2026-08-22T07:16:32.075435+00:00,exploration,150.6,1,1,1376820,
2026-08-22T07:17:02.394229+00:00,exploration,180.9,1,1,1379468,
2026-08-22T07:17:31.693404+00:00,exploration,210.2,1,1,1379744,
2026-08-22T07:18:01.987516+00:00,exploration,240.5,1,1,1380216,
2026-08-22T07:18:32.311485+00:00,exploration,270.8,1,1,1381464,
2026-08-22T07:19:01.644415+00:00,exploration,300.1,1,1,1383020,
2026-08-22T07:19:31.940019+00:00,exploration,330.4,1,1,1383564,
2026-08-22T07:20:02.229915+00:00,exploration,360.7,1,1,1385900,
2026-08-22T07:20:31.552438+00:00,exploration,390.0,1,1,1385476,
2026-08-22T07:21:01.850379+00:00,exploration,420.3,1,1,1386712,
2026-08-22T07:21:32.182648+00:00,exploration,450.6,1,1,1391200,
2026-08-22T07:22:02.514850+00:00,exploration,481.0,1,1,1394200,
2026-08-22T07:22:31.812743+00:00,exploration,510.3,1,1,1391548,
2026-08-22T07:23:02.144684+00:00,exploration,540.6,1,1,1392372,
2026-08-22T07:23:32.487230+00:00,exploration,570.9,1,1,1393184,
2026-08-22T07:24:01.782241+00:00,exploration,600.3,1,1,1394864,
2026-08-22T07:24:32.077620+00:00,exploration,630.6,1,1,1395776,
2026-08-22T07:25:02.375077+00:00,exploration,660.9,1,1,1398800,
2026-08-22T07:25:31.668673+00:00,exploration,690.2,1,1,1399312,
2026-08-22T07:26:01.966859+00:00,exploration,720.5,1,1,1398888,
2026-08-22T07:26:32.275915+00:00,exploration,750.8,1,1,1404236,
2026-08-22T07:27:01.636697+00:00,exploration,780.1,1,1,1408548,
2026-08-22T07:27:31.983162+00:00,exploration,810.4,1,1,1411152,
2026-08-22T07:28:02.285390+00:00,exploration,840.8,1,1,1414452,
2026-08-22T07:28:31.624898+00:00,exploration,870.1,1,1,1417192,
