wall_time_utc,stage,elapsed_wall_s,launch_alive,driver_alive,rss_kb,missing_core_nodes
2026-08-22T02:51:07.866170+00:00,mapping,0.0,1,1,1155172,/path_planner
2026-08-22T02:51:21.123220+00:00,history_exploration,0.0,1,1,1360064,
2026-08-22T02:51:51.427373+00:00,history_exploration,30.3,1,1,1369892,
2026-08-22T02:52:21.764685+00:00,history_exploration,60.6,1,1,1374968,
2026-08-22T02:52:52.100486+00:00,history_exploration,91.0,1,1,1379968,
2026-08-22T02:53:21.436335+00:00,history_exploration,120.3,1,1,1386180,
2026-08-22T02:53:51.788470+00:00,history_exploration,150.7,1,1,1391064,
2026-08-22T02:54:21.080148+00:00,history_exploration,180.0,1,1,1397516,
2026-08-22T02:54:51.447106+00:00,history_exploration,210.3,1,1,1402456,
2026-08-22T02:55:21.788405+00:00,history_exploration,240.7,1,1,1406236,
2026-08-22T02:55:51.093615+00:00,history_exploration,270.0,1,1,1407796,
2026-08-22T02:56:21.391409+00:00,history_exploration,300.3,1,1,1410112,
2026-08-22T02:56:51.688593+00:00,history_exploration,330.6,1,1,1412636,
2026-08-22T02:57:22.004073+00:00,history_exploration,360.9,1,1,1416880,
2026-08-22T02:57:51.317724+00:00,history_exploration,390.2,1,1,1419876,
2026-08-22T02:58:21.652963+00:00,history_exploration,420.5,1,1,1424696,
2026-08-22T02:58:51.948742+00:00,history_exploration,450.9,1,1,1427484,
2026-08-22T02:59:21.294701+00:00,history_exploration,480.2,1,1,1433760,
2026-08-22T02:59:51.644135+00:00,history_exploration,510.5,1,1,1437624,
2026-08-22T03:00:21.939913+00:00,history_exploration,540.9,1,1,1441732,
2026-08-22T03:00:51.284656+00:00,history_exploration,570.2,1,1,1443900,
2026-08-22T03:01:21.591682+00:00,history_exploration,600.5,1,1,1446592,
2026-08-22T03:01:51.925909+00:00,history_exploration,630.8,1,1,1449568,
2026-08-22T03:02:21.272313+00:00,history_exploration,660.1,1,1,1453316,
2026-08-22T03:02:51.582378+00:00,history_exploration,690.5,1,1,1456564,
2026-08-22T03:03:21.877979+00:00,history_exploration,720.8,1,1,1460328,
2026-08-22T03:03:51.216286+00:00,history_exploration,750.1,1,1,1463988,
2026-08-22T03:04:21.551593+00:00,history_exploration,780.4,1,1,1466908,
2026-08-22T03:04:51.845112+00:00,history_exploration,810.8,1,1,1469168,
2026-08-22T03:05:21.141490+00:00,history_exploration,840.1,1,1,1471496,
2026-08-22T03:05:51.511848+00:00,history_exploration,870.4,1,1,1473288,
2026-08-22T03:06:21.842348+00:00,history_exploration,900.7,1,1,1478044,
2026-08-22T03:06:24.149207+00:00,positive_revisit,0.0,1,1,1477820,
2026-08-22T03:06:54.453136+00:00,positive_revisit,30.3,1,1,1484448,
2026-08-22T03:07:24.778217+00:00,positive_revisit,60.6,1,1,1486068,
2026-08-22T03:07:55.106856+00:00,positive_revisit,91.0,1,1,1487504,
2026-08-22T03:08:24.404898+00:00,positive_revisit,120.3,1,1,1489284,
2026-08-22T03:08:54.698775+00:00,positive_revisit,150.6,1,1,1495664,
2026-08-22T03:09:24.989743+00:00,positive_revisit,180.9,1,1,1497824,
2026-08-22T03:09:54.320159+00:00,positive_revisit,210.2,1,1,1497952,
2026-08-22T03:10:24.663623+00:00,positive_revisit,240.5,1,1,1498216,
2026-08-22T03:10:54.974372+00:00,positive_revisit,270.8,1,1,1498216,
2026-08-22T03:11:24.290159+00:00,positive_revisit,300.2,1,1,1498216,
2026-08-22T03:11:54.597528+00:00,positive_revisit,330.5,1,1,1498484,
2026-08-22T03:12:24.885093+00:00,positive_revisit,360.8,1,1,1498484,
2026-08-22T03:12:54.197619+00:00,positive_revisit,390.1,1,1,1498484,
2026-08-22T03:13:24.499187+00:00,positive_revisit,420.4,1,1,1498484,
2026-08-22T03:13:54.834576+00:00,positive_revisit,450.7,1,1,1498748,
2026-08-22T03:14:24.143284+00:00,positive_revisit,480.0,1,1,1499012,
2026-08-22T03:14:54.463224+00:00,positive_revisit,510.3,1,1,1499012,
2026-08-22T03:15:24.756193+00:00,positive_revisit,540.6,1,1,1499276,
2026-08-22T03:15:55.117375+00:00,positive_revisit,570.9,1,1,1499280,
