seed,loop_id,loop_vertex,failure_subclass,evidence_level,accepted,history_waypoint_count,history_path_length_m,mean_waypoint_spacing_m,max_waypoint_spacing_m,history_start_x,history_start_y,history_end_x,history_end_y,history_path_heading_change_rad,actual_path_length_m,execution_time_sim,keyscan_count_inside_loop,actual_to_history_mean_m,actual_to_history_median_m,actual_to_history_p90_m,actual_to_history_max_m,overlap_0_5m,overlap_1_0m,overlap_2_0m,cont_overlap_0_5m_samples,cont_overlap_1_0m_samples,yaw_diff_mean_rad,yaw_diff_median_rad,yaw_diff_p90_rad,yaw_frac_lt_0_26,yaw_frac_lt_0_52,yaw_frac_lt_0_78,fraction_keyscans_valid_chain,longest_consec_valid_chain_keyscans,max_chain_size,best_coarse_response,longest_consec_coarse_ge_0_5,frac_coarse_ge_0_4,frac_coarse_ge_0_5,frac_coarse_ge_0_6,num_C1,num_C2,num_C3,num_D1,num_D2,num_D3,num_D4,num_ACCEPTED,deepest_stage_reached,dominant_stage
21001,3,8,C3,Confirmed,False,7,1.395,0.232,0.8,0.2,0.0,0.66,0.103,4.78,14.445,29.8,27,1.588,0.667,5.311,6.939,0.405,0.662,0.746,68,103,1.572,1.62,3.008,0.151,0.278,0.358,0.037,1,4,0.477,0,0.037,0.0,0.0,0,0,26,0,0,0,0,0,COARSE,C
21002,1,8,C3,Confirmed,False,7,1.392,0.232,0.795,0.2,0.0,0.663,0.112,4.828,15.216,34.0,33,2.188,0.819,6.249,6.464,0.217,0.534,0.669,46,149,1.76,1.797,3.038,0.065,0.097,0.199,0.121,2,6,0.493,0,0.061,0.0,0.0,0,4,25,0,0,0,0,0,COARSE,C
21003,3,8,C3,Confirmed,False,7,1.409,0.235,0.793,0.2,0.0,0.67,0.121,4.862,14.319,31.0,30,1.815,0.913,5.519,6.802,0.161,0.572,0.743,33,97,1.659,1.493,3.033,0.077,0.164,0.228,0.067,1,4,0.474,0,0.033,0.0,0.0,0,1,27,0,0,0,0,0,COARSE,C
21004,5,8,C3,Confirmed,False,7,1.392,0.232,0.803,0.2,0.0,0.661,0.112,4.735,8.044,22.0,21,1.578,1.685,2.24,2.517,0.081,0.149,0.824,18,33,1.518,1.596,2.865,0.186,0.271,0.33,0.238,4,5,0.499,0,0.143,0.0,0.0,0,0,16,0,0,0,0,0,COARSE,C
21005,5,8,C3,Confirmed,False,7,1.408,0.235,0.803,0.2,0.0,0.651,0.095,4.812,29.443,56.0,41,8.777,7.41,19.385,22.468,0.187,0.298,0.371,76,130,2.138,1.936,3.057,0.032,0.062,0.112,0.171,4,5,0.527,1,0.024,0.024,0.0,0,3,31,0,0,0,0,0,COARSE,C
21001,1,15,D1,Confirmed,False,6,4.961,0.992,1.075,20.553,56.809,21.935,52.301,0.856,16.767,44.0,20,2.532,1.667,7.188,9.146,0.331,0.41,0.544,146,181,1.364,1.937,2.307,0.213,0.32,0.385,0.65,9,8,0.382,0,0.0,0.0,0.0,0,1,6,0,0,0,0,0,COARSE,D
21003,1,15,D1,Confirmed,False,5,3.919,0.98,1.034,20.456,56.162,22.014,52.74,0.743,18.496,57.5,24,3.889,3.125,9.168,12.669,0.227,0.286,0.389,131,165,1.644,2.052,2.322,0.078,0.139,0.212,0.625,9,7,0.401,0,0.042,0.0,0.0,0,1,8,0,0,0,0,0,COARSE,D
21004,1,15,D1,Confirmed,False,6,4.916,0.983,1.026,19.858,56.673,21.966,52.49,0.783,21.35,81.0,25,5.309,4.871,11.184,14.298,0.179,0.223,0.3,145,181,1.739,1.986,2.402,0.086,0.121,0.159,0.8,17,7,0.398,0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,COARSE,D
21005,1,15,D1,Confirmed,False,6,4.899,0.98,1.102,21.276,57.706,21.821,52.96,0.576,16.323,45.0,19,2.517,1.61,6.915,9.217,0.359,0.424,0.545,162,191,1.314,1.879,2.106,0.186,0.324,0.379,0.579,8,7,0.324,0,0.0,0.0,0.0,0,0,8,0,0,0,0,0,COARSE,D
21004,4,22,D1,Confirmed,False,6,4.821,0.964,1.052,35.386,-1.329,34.042,3.063,0.823,16.073,50.0,20,3.986,3.402,7.852,10.343,0.0,0.092,0.343,0,39,1.281,0.836,2.306,0.19,0.253,0.295,0.65,10,7,0.57,1,0.1,0.05,0.0,0,1,6,0,0,0,0,0,COARSE,D
