timestamp,event,data
1787421899.649577618,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-22T18:04:59.649604+00:00""}"
1787421899.655229092,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 20, 19, 15, 19, 23, 29, 30, 24, 25, 31, 32, 26, 27, 33, 34, 28, 22, 21, 38, 37, 38, 36, 12, 13, 14, 8, 14, 18, 17, 21], ""wall_time_utc"": ""2026-08-22T18:04:59.655360+00:00""}"
1787421899.655419827,LOOP_INSERTED,"{""path_index"": 15, ""vertex"": 15, ""wall_time_utc"": ""2026-08-22T18:04:59.655449+00:00""}"
1787421899.655419827,LOOP_INSERTED,"{""path_index"": 32, ""vertex"": 37, ""wall_time_utc"": ""2026-08-22T18:04:59.655475+00:00""}"
1787421899.655419827,LOOP_INSERTED,"{""path_index"": 38, ""vertex"": 8, ""wall_time_utc"": ""2026-08-22T18:04:59.655491+00:00""}"
1787421899.655419827,LOOP_INSERTED,"{""path_index"": 42, ""vertex"": 21, ""wall_time_utc"": ""2026-08-22T18:04:59.655504+00:00""}"
13.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:05:17.242072+00:00""}"
13.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-22T18:05:17.244001+00:00""}"
13.800000000,GOAL_REACHED,"{""vertex"": 8, ""wall_time_utc"": ""2026-08-22T18:05:17.246476+00:00""}"
13.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 8. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T18:05:17.246530+00:00""}"
14.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:05:22.244633+00:00""}"
14.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T18:05:22.246627+00:00""}"
20.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:05:52.268445+00:00""}"
20.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T18:05:52.269990+00:00""}"
26.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:06:22.261354+00:00""}"
26.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T18:06:22.263190+00:00""}"
26.800000000,GOAL_REACHED,"{""vertex"": 7, ""wall_time_utc"": ""2026-08-22T18:06:22.266523+00:00""}"
28.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:06:31.304152+00:00""}"
28.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T18:06:31.306164+00:00""}"
30.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:06:42.263946+00:00""}"
30.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T18:06:42.266293+00:00""}"
30.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 7. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T18:06:42.269443+00:00""}"
36.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:07:12.272761+00:00""}"
36.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T18:07:12.275052+00:00""}"
42.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:07:42.302673+00:00""}"
42.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T18:07:42.304783+00:00""}"
48.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:08:12.277622+00:00""}"
48.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T18:08:12.279785+00:00""}"
54.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:08:42.312154+00:00""}"
54.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T18:08:42.314038+00:00""}"
60.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:09:12.292842+00:00""}"
60.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T18:09:12.294942+00:00""}"
60.800000000,GOAL_REACHED,"{""vertex"": 6, ""wall_time_utc"": ""2026-08-22T18:09:12.297815+00:00""}"
64.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:09:32.295313+00:00""}"
64.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T18:09:32.297455+00:00""}"
64.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 6. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T18:09:32.300618+00:00""}"
70.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T18:10:02.356146+00:00""}"
