timestamp,event,data
1787433244.479326010,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-22T21:14:04.479356+00:00""}"
1787433244.482007027,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 20, 19, 15, 19, 23, 29, 30, 24, 25, 31, 32, 26, 27, 33, 34, 28, 22, 21, 38, 26, 38, 36, 35, 36, 12, 13, 17, 18, 22, 18, 14, 8], ""wall_time_utc"": ""2026-08-22T21:14:04.482117+00:00""}"
1787433244.482316971,LOOP_INSERTED,"{""path_index"": 15, ""vertex"": 15, ""wall_time_utc"": ""2026-08-22T21:14:04.482336+00:00""}"
1787433244.482316971,LOOP_INSERTED,"{""path_index"": 32, ""vertex"": 26, ""wall_time_utc"": ""2026-08-22T21:14:04.482361+00:00""}"
1787433244.482316971,LOOP_INSERTED,"{""path_index"": 35, ""vertex"": 35, ""wall_time_utc"": ""2026-08-22T21:14:04.482372+00:00""}"
1787433244.482316971,LOOP_INSERTED,"{""path_index"": 41, ""vertex"": 22, ""wall_time_utc"": ""2026-08-22T21:14:04.482380+00:00""}"
1787433244.482316971,LOOP_INSERTED,"{""path_index"": 44, ""vertex"": 8, ""wall_time_utc"": ""2026-08-22T21:14:04.482387+00:00""}"
14.200000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:14:21.204511+00:00""}"
14.200000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-22T21:14:21.206499+00:00""}"
14.200000000,GOAL_REACHED,"{""vertex"": 8, ""wall_time_utc"": ""2026-08-22T21:14:21.209228+00:00""}"
14.200000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 8. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T21:14:21.209280+00:00""}"
15.300000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:14:27.243097+00:00""}"
15.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T21:14:27.244861+00:00""}"
21.300000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:14:57.249980+00:00""}"
21.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T21:14:57.251981+00:00""}"
27.300000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:15:27.285502+00:00""}"
27.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T21:15:27.287608+00:00""}"
27.300000000,GOAL_REACHED,"{""vertex"": 7, ""wall_time_utc"": ""2026-08-22T21:15:27.291305+00:00""}"
33.300000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:15:57.264048+00:00""}"
33.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-22T21:15:57.266031+00:00""}"
33.300000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 7. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T21:15:57.270021+00:00""}"
39.100000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:16:26.304105+00:00""}"
39.100000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:16:26.306223+00:00""}"
45.100000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:16:56.337159+00:00""}"
45.100000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:16:56.339264+00:00""}"
51.100000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:17:26.303012+00:00""}"
51.100000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:17:26.305136+00:00""}"
57.100000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:17:56.313738+00:00""}"
57.100000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:17:56.315764+00:00""}"
63.300000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:18:27.280075+00:00""}"
63.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:18:27.281838+00:00""}"
69.100000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:18:56.321447+00:00""}"
69.100000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:18:56.323629+00:00""}"
75.300000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-22T21:19:27.285583+00:00""}"
75.300000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-22T21:19:27.287684+00:00""}"
75.300000000,GOAL_REACHED,"{""vertex"": 6, ""wall_time_utc"": ""2026-08-22T21:19:27.290677+00:00""}"
75.300000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 6. #Frontier: 0"", ""wall_time_utc"": ""2026-08-22T21:19:27.290733+00:00""}"
