seed,loop_id,vertex,subclass,"span<3.0,yaw>0.50","span<3.0,yaw>0.60","span<3.0,yaw>0.78","span<3.0,yaw>0.90","span<3.0,yaw>1.00","span<3.0,yaw>1.20","span<3.5,yaw>0.50","span<3.5,yaw>0.60","span<3.5,yaw>0.78","span<3.5,yaw>0.90","span<3.5,yaw>1.00","span<3.5,yaw>1.20","span<4.0,yaw>0.50","span<4.0,yaw>0.60","span<4.0,yaw>0.78","span<4.0,yaw>0.90","span<4.0,yaw>1.00","span<4.0,yaw>1.20","span<4.5,yaw>0.50","span<4.5,yaw>0.60","span<4.5,yaw>0.78","span<4.5,yaw>0.90","span<4.5,yaw>1.00","span<4.5,yaw>1.20","span<5.0,yaw>0.50","span<5.0,yaw>0.60","span<5.0,yaw>0.78","span<5.0,yaw>0.90","span<5.0,yaw>1.00","span<5.0,yaw>1.20","span<5.5,yaw>0.50","span<5.5,yaw>0.60","span<5.5,yaw>0.78","span<5.5,yaw>0.90","span<5.5,yaw>1.00","span<5.5,yaw>1.20","span<6.0,yaw>0.50","span<6.0,yaw>0.60","span<6.0,yaw>0.78","span<6.0,yaw>0.90","span<6.0,yaw>1.00","span<6.0,yaw>1.20"
21001,1,15,D1,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21001,2,11,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21001,3,8,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21001,4,26,S,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21002,1,8,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21002,2,38,C3,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21002,3,16,C3,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR
21003,1,15,D1,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21003,2,37,C3,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21003,3,8,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21003,4,21,D1,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,1,15,D1,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,2,26,C3,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
21004,3,35,C3,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,NO_REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR,REPAIR
