seed,loop_id,vertex,subclass,span_m,yaw_med_rad,waypoints,repair_frac_across_grid,current_decision,current_reasons
21001,1,15,D1,4.961,1.937,6.0,1.0,REPAIR,yaw>0.78
21001,2,11,C3,1.914,2.54,3.0,1.0,REPAIR,span<4.5;yaw>0.78
21001,3,8,C3,1.395,1.62,7.0,1.0,REPAIR,span<4.5;yaw>0.78
21001,4,26,S,4.81,0.561,6.0,0.524,NO_REPAIR,
21002,1,8,C3,1.392,1.797,7.0,1.0,REPAIR,span<4.5;yaw>0.78
21002,2,38,C3,5.913,0.687,7.0,0.429,NO_REPAIR,
21002,3,16,C3,6.041,0.756,7.0,0.333,NO_REPAIR,
21003,1,15,D1,3.919,2.052,5.0,1.0,REPAIR,span<4.5;yaw>0.78
21003,2,37,C3,3.88,0.759,5.0,0.81,REPAIR,span<4.5
21003,3,8,C3,1.409,1.493,7.0,1.0,REPAIR,span<4.5;yaw>0.78
21003,4,21,D1,5.896,0.433,7.0,0.143,NO_REPAIR,
21004,1,15,D1,4.916,1.986,6.0,1.0,REPAIR,yaw>0.78
21004,2,26,C3,4.147,2.358,5.0,1.0,REPAIR,span<4.5;yaw>0.78
21004,3,35,C3,4.828,0.064,6.0,0.429,NO_REPAIR,
21004,4,22,D1,4.821,0.836,6.0,0.714,REPAIR,yaw>0.78
21004,5,8,C3,1.392,1.596,7.0,1.0,REPAIR,span<4.5;yaw>0.78
21005,1,15,D1,4.899,1.879,6.0,1.0,REPAIR,yaw>0.78
21005,2,26,C3,3.634,1.764,5.0,1.0,REPAIR,span<4.5;yaw>0.78
21005,3,35,D1,5.807,0.181,7.0,0.143,NO_REPAIR,
21005,4,22,D1,5.009,0.824,6.0,0.643,REPAIR,yaw>0.78
21005,5,8,C3,1.408,1.936,7.0,1.0,REPAIR,span<4.5;yaw>0.78
