seed,condition,method,validity,executed_active_loops,accepted_active_loops,acceptance_rate
21001,A,Original,VALID,4,0,0.0
21001,B,Always-Trace,VALID,4,0,0.0
21001,C,Selective,VALID,4,0,0.0
21002,A,Original,VALID,3,1,0.3333333333333333
21002,B,Always-Trace,VALID,3,0,0.0
21002,C,Selective,VALID,3,0,0.0
21003,A,Original,VALID,4,0,0.0
21003,B,Always-Trace,VALID,4,0,0.0
21003,C,Selective,VALID,4,1,0.25
21004,A,Original,VALID,5,0,0.0
21004,B,Always-Trace,VALID,5,2,0.4
21004,C,Selective,VALID,5,0,0.0
21005,A,Original,VALID,5,0,0.0
21005,B,Always-Trace,VALID,5,0,0.0
21005,C,Selective,VALID,5,2,0.4
