seed,condition,method,active_loop_distance_m,active_loop_time_s,total_exploration_distance_m,total_exploration_sim_time_s,total_exploration_wall_time_s,wall_sim_ratio
21001,A,Original,66.77195318445612,224.90000000000032,555.1363452023396,1470.6000000000001,1471.7065646030005,1.000752457910377
21001,B,Always-Trace,145.6834775554711,450.4000000000002,573.2725211800544,1505.8000000000002,1506.275762363999,1.0003159532235348
21001,C,Selective,101.20340042595505,326.9000000000001,521.1170616069053,1419.7,1420.022265391999,1.0002269954159322
21002,A,Original,57.999168481480226,167.0,462.9419953372351,1140.7,1141.4532170679995,1.0006603112720254
21002,B,Always-Trace,112.53003632893194,347.49999999999994,521.3225267769292,1396.0,1396.2735674569994,1.0001959652270769
21002,C,Selective,66.86503965675882,239.49999999999994,469.1382249075234,1183.6999999999998,1183.7985632419986,1.0000832670794955
21003,A,Original,97.33768317459293,310.9999999999999,506.3327893861121,1348.8,1349.1714406240026,1.000275385990512
21003,B,Always-Trace,143.23976177465525,487.2999999999999,572.5501009838457,1525.0,1525.4727527689975,1.000310001815736
21003,C,Selective,111.16884556379901,356.9,520.4522244488797,1397.2,1397.6287279949993,1.0003068479780985
21004,A,Original,106.08225816693728,263.30000000000007,603.751056596735,1383.8,1384.2601126910013,1.0003324994153788
21004,B,Always-Trace,214.26747958957338,649.4,652.3327073744862,1736.9,1737.5858359139997,1.0003948620611431
21004,C,Selective,156.1804701857195,484.30000000000007,540.7777499866364,1412.0,1412.303762078,1.000215128950425
21005,A,Original,116.14287860480829,320.4999999999999,527.9708632902757,1346.8999999999999,1347.4761250790007,1.0004277415390903
21005,B,Always-Trace,251.98799159745928,1085.9999999999995,684.7858037254215,2153.5,2154.387227902,1.000411993453448
21005,C,Selective,89.22066889622548,235.79999999999995,540.7398952312882,1458.7,1459.0347194779997,1.0002294642339067
