seed,condition,method,occupied_iou,boundary_f1,estimated_unknown_ratio
21001,A,Original,0.06127131782945736,0.391957362057004,0.10054734293597127
21001,B,Always-Trace,0.07734498811410459,0.4361416862266569,0.11318933089739734
21001,C,Selective,0.07327045197529483,0.5237270070678571,0.11711616369786967
21002,A,Original,0.07782874426627004,0.5585871364291201,0.1247748801526916
21002,B,Always-Trace,0.08309247650863956,0.4522551282746637,0.11050645931504154
21002,C,Selective,0.055986987733737725,0.32782043482885925,0.11474335409077575
21003,A,Original,0.08329784835808932,0.4622214850226168,0.11006457458382998
21003,B,Always-Trace,0.0723437636189314,0.5234996555466301,0.11326174058024292
21003,C,Selective,0.07089723119577192,0.48550994461069896,0.1116148844601394
21004,A,Original,0.04997309987283576,0.3242843198320291,0.10133270949606574
21004,B,Always-Trace,0.09171862207947604,0.5265400200548099,0.10924393151157998
21004,C,Selective,0.07584459037678844,0.5455183656132634,0.11588334243096016
21005,A,Original,0.05988545967478297,0.3158841371973536,0.12002369096290025
21005,B,Always-Trace,0.07766435685368701,0.5841958433903082,0.1030835384941014
21005,C,Selective,0.06155546006997729,0.3651249199189656,0.11509983252940019
