seed,condition,method,repair_trigger_count,no_repair_count,repair_distance_m,repair_time_s,early_stop_count,early_stop_saved_remaining_polyline_m_lower_bound
21001,A,Original,0,4,0,0,0,0.0
21001,B,Always-Trace,4,0,145.6834775554711,450.4000000000002,0,0.0
21001,C,Selective,2,2,57.704297399019794,199.20000000000005,0,0.0
21002,A,Original,0,3,0,0,0,0.0
21002,B,Always-Trace,3,0,112.53003632893194,347.49999999999994,0,0.0
21002,C,Selective,1,2,28.263384370567586,88.40000000000003,0,0.0
21003,A,Original,0,4,0,0,0,0.0
21003,B,Always-Trace,4,0,143.23976177465525,487.2999999999999,0,0.0
21003,C,Selective,1,3,33.364683861739636,102.19999999999982,0,0.0
21004,A,Original,0,5,0,0,0,0.0
21004,B,Always-Trace,5,0,214.26747958957338,649.4,0,0.0
21004,C,Selective,2,3,92.65233445748804,303.20000000000005,0,0.0
21005,A,Original,0,5,0,0,0,0.0
21005,B,Always-Trace,5,0,251.98799159745928,1085.9999999999995,0,0.0
21005,C,Selective,3,2,53.70939709042965,126.80000000000007,2,21.530729300294105
