seed,condition,method,validity,planned_active_loops,executed_active_loops,accepted_active_loops,acceptance_rate,active_loop_distance_m,active_loop_time_s,repair_trigger_count,no_repair_count,repair_distance_m,repair_time_s,early_stop_count,early_stop_saved_remaining_polyline_m_lower_bound,total_exploration_distance_m,total_exploration_sim_time_s,total_exploration_wall_time_s,wall_sim_ratio,ape_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_deg,occupied_iou,boundary_f1,estimated_unknown_ratio
21001,A,Original,VALID,4,4,0,0.0,66.77195318445612,224.90000000000032,0,4,0,0,0,0.0,555.1363452023396,1470.6000000000001,1471.7065646030005,1.000752457910377,1.931035,0.033705,0.208282,0.06127131782945736,0.391957362057004,0.10054734293597127
21001,B,Always-Trace,VALID,4,4,0,0.0,145.6834775554711,450.4000000000002,4,0,145.6834775554711,450.4000000000002,0,0.0,573.2725211800544,1505.8000000000002,1506.275762363999,1.0003159532235348,0.560084,0.062831,0.308477,0.07734498811410459,0.4361416862266569,0.11318933089739734
21001,C,Selective,VALID,4,4,0,0.0,101.20340042595505,326.9000000000001,2,2,57.704297399019794,199.20000000000005,0,0.0,521.1170616069053,1419.7,1420.022265391999,1.0002269954159322,0.604666,0.052307,0.243688,0.07327045197529483,0.5237270070678571,0.11711616369786967
21002,A,Original,VALID,3,3,1,0.3333333333333333,57.999168481480226,167.0,0,3,0,0,0,0.0,462.9419953372351,1140.7,1141.4532170679995,1.0006603112720254,0.2401,0.034865,0.209592,0.07782874426627004,0.5585871364291201,0.1247748801526916
21002,B,Always-Trace,VALID,3,3,0,0.0,112.53003632893194,347.49999999999994,3,0,112.53003632893194,347.49999999999994,0,0.0,521.3225267769292,1396.0,1396.2735674569994,1.0001959652270769,0.508673,0.074704,0.36275,0.08309247650863956,0.4522551282746637,0.11050645931504154
21002,C,Selective,VALID,3,3,0,0.0,66.86503965675882,239.49999999999994,1,2,28.263384370567586,88.40000000000003,0,0.0,469.1382249075234,1183.6999999999998,1183.7985632419986,1.0000832670794955,1.15693,0.044769,0.211664,0.055986987733737725,0.32782043482885925,0.11474335409077575
21003,A,Original,VALID,4,4,0,0.0,97.33768317459293,310.9999999999999,0,4,0,0,0,0.0,506.3327893861121,1348.8,1349.1714406240026,1.000275385990512,0.622606,0.052417,0.337893,0.08329784835808932,0.4622214850226168,0.11006457458382998
21003,B,Always-Trace,VALID,4,4,0,0.0,143.23976177465525,487.2999999999999,4,0,143.23976177465525,487.2999999999999,0,0.0,572.5501009838457,1525.0,1525.4727527689975,1.000310001815736,1.043301,0.079285,0.502674,0.0723437636189314,0.5234996555466301,0.11326174058024292
21003,C,Selective,VALID,4,4,1,0.25,111.16884556379901,356.9,1,3,33.364683861739636,102.19999999999982,0,0.0,520.4522244488797,1397.2,1397.6287279949993,1.0003068479780985,0.506671,0.043322,0.263487,0.07089723119577192,0.48550994461069896,0.1116148844601394
21004,A,Original,VALID,5,5,0,0.0,106.08225816693728,263.30000000000007,0,5,0,0,0,0.0,603.751056596735,1383.8,1384.2601126910013,1.0003324994153788,1.823823,0.032476,0.140586,0.04997309987283576,0.3242843198320291,0.10133270949606574
21004,B,Always-Trace,VALID,5,5,2,0.4,214.26747958957338,649.4,5,0,214.26747958957338,649.4,0,0.0,652.3327073744862,1736.9,1737.5858359139997,1.0003948620611431,0.603357,0.074388,0.2876,0.09171862207947604,0.5265400200548099,0.10924393151157998
21004,C,Selective,VALID,5,5,0,0.0,156.1804701857195,484.30000000000007,2,3,92.65233445748804,303.20000000000005,0,0.0,540.7777499866364,1412.0,1412.303762078,1.000215128950425,0.493636,0.041905,0.257093,0.07584459037678844,0.5455183656132634,0.11588334243096016
21005,A,Original,VALID,5,5,0,0.0,116.14287860480829,320.4999999999999,0,5,0,0,0,0.0,527.9708632902757,1346.8999999999999,1347.4761250790007,1.0004277415390903,0.801703,0.034755,0.180242,0.05988545967478297,0.3158841371973536,0.12002369096290025
21005,B,Always-Trace,VALID,5,5,0,0.0,251.98799159745928,1085.9999999999995,5,0,251.98799159745928,1085.9999999999995,0,0.0,684.7858037254215,2153.5,2154.387227902,1.000411993453448,0.905463,0.067362,1.328437,0.07766435685368701,0.5841958433903082,0.1030835384941014
21005,C,Selective,VALID,5,5,2,0.4,89.22066889622548,235.79999999999995,3,2,53.70939709042965,126.80000000000007,2,21.530729300294105,540.7398952312882,1458.7,1459.0347194779997,1.0002294642339067,0.842854,0.035097,0.210086,0.06155546006997729,0.3651249199189656,0.11509983252940019
