seed,condition,method,ape_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_deg
21001,A,Original,1.931035,0.033705,0.208282
21001,B,Always-Trace,0.560084,0.062831,0.308477
21001,C,Selective,0.604666,0.052307,0.243688
21002,A,Original,0.2401,0.034865,0.209592
21002,B,Always-Trace,0.508673,0.074704,0.36275
21002,C,Selective,1.15693,0.044769,0.211664
21003,A,Original,0.622606,0.052417,0.337893
21003,B,Always-Trace,1.043301,0.079285,0.502674
21003,C,Selective,0.506671,0.043322,0.263487
21004,A,Original,1.823823,0.032476,0.140586
21004,B,Always-Trace,0.603357,0.074388,0.2876
21004,C,Selective,0.493636,0.041905,0.257093
21005,A,Original,0.801703,0.034755,0.180242
21005,B,Always-Trace,0.905463,0.067362,1.328437
21005,C,Selective,0.842854,0.035097,0.210086
