map,seed,contrast,boundary_f1_delta,symmetric_distance_delta_m,occupied_iou_delta_secondary
map3,21001,B-A,0.0441843241696529,-0.2652797449957272,0.016073670284647228
map3,21001,C-A,0.13176964501085314,-0.28590276833425654,0.011999134145837469
map3,21001,C-B,0.08758532084120024,-0.020623023338529334,-0.004074536138809759
map3,21002,B-A,-0.10633200815445637,0.07325535527544341,0.00526373224236952
map3,21002,C-A,-0.2307667016002608,0.2947026396106875,-0.021841756532532314
map3,21002,C-B,-0.12443469344580443,0.22144728433524408,-0.027105488774901834
map3,21003,B-A,0.06127817052401335,0.08380017624501834,-0.010954084739157918
map3,21003,C-A,0.023288459588082178,-0.005296182837407903,-0.012400617162317398
map3,21003,C-B,-0.037989710935931176,-0.08909635908242625,-0.00144653242315948
map3,21004,B-A,0.20225570022278083,-0.39919496361478674,0.041745522206640275
map3,21004,C-A,0.2212340457812343,-0.434694446780239,0.025871490503952675
map3,21004,C-B,0.018978345558453458,-0.03549948316545226,-0.0158740317026876
map3,21005,B-A,0.2683117061929546,-0.15445385580230114,0.017778897178904046
map3,21005,C-A,0.04924078272161203,-0.0165742638793811,0.0016700003951943196
map3,21005,C-B,-0.21907092347134255,0.13787959192292004,-0.016108896783709727
