wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-25T03:02:24.376668+00:00,mapping,0.0,1,1,1358132,
2026-08-25T03:02:37.580665+00:00,exploration,0.0,1,1,1364616,
2026-08-25T03:03:07.884084+00:00,exploration,30.3,1,1,1373448,
2026-08-25T03:03:38.180328+00:00,exploration,60.6,1,1,1378844,
2026-08-25T03:04:08.524071+00:00,exploration,90.9,1,1,1387108,
2026-08-25T03:04:37.859511+00:00,exploration,120.2,1,1,1389712,
2026-08-25T03:05:08.193624+00:00,exploration,150.6,1,1,1396892,
2026-08-25T03:05:38.534495+00:00,exploration,180.9,1,1,1400840,
2026-08-25T03:06:07.856651+00:00,exploration,210.2,1,1,1408428,
2026-08-25T03:06:38.167648+00:00,exploration,240.6,1,1,1413820,
2026-08-25T03:07:08.469585+00:00,exploration,270.9,1,1,1419660,
2026-08-25T03:07:37.767849+00:00,exploration,300.2,1,1,1422912,
2026-08-25T03:08:08.068546+00:00,exploration,330.5,1,1,1423092,
2026-08-25T03:08:38.372148+00:00,exploration,360.8,1,1,1424672,
2026-08-25T03:09:07.715977+00:00,exploration,390.1,1,1,1427800,
2026-08-25T03:09:38.059022+00:00,exploration,420.4,1,1,1436264,
2026-08-25T03:10:08.394922+00:00,exploration,450.8,1,1,1437348,
2026-08-25T03:10:37.737941+00:00,exploration,480.1,1,1,1443208,
2026-08-25T03:11:08.024203+00:00,exploration,510.5,1,1,1443020,
2026-08-25T03:11:38.356564+00:00,exploration,540.7,1,1,1446004,
2026-08-25T03:12:07.667266+00:00,exploration,570.1,1,1,1449620,
2026-08-25T03:12:37.958191+00:00,exploration,600.4,1,1,1452288,
2026-08-25T03:13:08.296129+00:00,exploration,630.7,1,1,1456608,
2026-08-25T03:13:37.645004+00:00,exploration,660.0,1,1,1465284,
2026-08-25T03:14:07.978678+00:00,exploration,690.4,1,1,1468424,
2026-08-25T03:14:38.289497+00:00,exploration,720.7,1,1,1471660,
2026-08-25T03:15:08.612833+00:00,exploration,751.0,1,1,1475504,
2026-08-25T03:15:37.893670+00:00,exploration,780.3,1,1,1480644,
2026-08-25T03:16:08.229944+00:00,exploration,810.6,1,1,1479068,
2026-08-25T03:16:38.567210+00:00,exploration,840.9,1,1,1481380,
2026-08-25T03:17:07.896732+00:00,exploration,870.3,1,1,1482440,
2026-08-25T03:17:38.233023+00:00,exploration,900.6,1,1,1485128,
2026-08-25T03:18:08.562042+00:00,exploration,930.9,1,1,1482012,
2026-08-25T03:18:37.860585+00:00,exploration,960.3,1,1,1485080,
2026-08-25T03:19:08.159196+00:00,exploration,990.6,1,1,1486392,
2026-08-25T03:19:38.454005+00:00,exploration,1020.9,1,1,1491200,
2026-08-25T03:20:07.795221+00:00,exploration,1050.2,1,1,1495312,
2026-08-25T03:20:38.094033+00:00,exploration,1080.5,1,1,1499192,
2026-08-25T03:21:08.398757+00:00,exploration,1110.8,1,1,1502256,
2026-08-25T03:21:37.725186+00:00,exploration,1140.1,1,1,1506364,
2026-08-25T03:22:08.024061+00:00,exploration,1170.4,1,1,1508592,
2026-08-25T03:22:38.344161+00:00,exploration,1200.7,1,1,1511412,
2026-08-25T03:23:07.716325+00:00,exploration,1230.1,1,1,1514704,
2026-08-25T03:23:38.052955+00:00,exploration,1260.4,1,1,1517304,
2026-08-25T03:24:08.356402+00:00,exploration,1290.8,1,1,1518720,
2026-08-25T03:24:37.690850+00:00,exploration,1320.1,1,1,1521184,
2026-08-25T03:25:08.035187+00:00,exploration,1350.4,1,1,1522748,
2026-08-25T03:25:38.330328+00:00,exploration,1380.7,1,1,1523268,
