timestamp,event,data
1787628389.005369186,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-25T03:26:29.005407+00:00""}"
1787628389.008294821,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 20, 19, 15, 19, 23, 29, 30, 24, 25, 31, 32, 26, 38, 36, 12, 11, 12, 13, 14, 8, 14, 18, 17, 21, 22, 28, 34, 33, 27, 26], ""wall_time_utc"": ""2026-08-25T03:26:29.008433+00:00""}"
1787628389.008498192,LOOP_INSERTED,"{""path_index"": 15, ""vertex"": 15, ""wall_time_utc"": ""2026-08-25T03:26:29.008523+00:00""}"
1787628389.008498192,LOOP_INSERTED,"{""path_index"": 28, ""vertex"": 11, ""wall_time_utc"": ""2026-08-25T03:26:29.008543+00:00""}"
1787628389.008498192,LOOP_INSERTED,"{""path_index"": 32, ""vertex"": 8, ""wall_time_utc"": ""2026-08-25T03:26:29.008557+00:00""}"
1787628389.008498192,LOOP_INSERTED,"{""path_index"": 42, ""vertex"": 26, ""wall_time_utc"": ""2026-08-25T03:26:29.008570+00:00""}"
17.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:26:47.237981+00:00""}"
17.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-25T03:26:47.239743+00:00""}"
17.800000000,GOAL_REACHED,"{""vertex"": 8, ""wall_time_utc"": ""2026-08-25T03:26:47.242591+00:00""}"
17.800000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 8. #Frontier: 0"", ""wall_time_utc"": ""2026-08-25T03:26:47.242634+00:00""}"
18.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:26:48.219085+00:00""}"
18.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:26:48.220865+00:00""}"
24.800000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:26:54.250501+00:00""}"
24.800000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:26:54.252675+00:00""}"
