wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-25T03:26:34.795025+00:00,mapping,0.0,1,1,1357508,
2026-08-25T03:26:48.010334+00:00,exploration,0.0,1,1,1364568,
2026-08-25T03:27:18.346827+00:00,exploration,30.3,1,1,1373576,
2026-08-25T03:27:48.658585+00:00,exploration,60.7,1,1,1377784,
2026-08-25T03:28:18.998758+00:00,exploration,91.0,1,1,1382700,
2026-08-25T03:28:48.305593+00:00,exploration,120.3,1,1,1387192,
2026-08-25T03:29:18.632853+00:00,exploration,150.6,1,1,1395536,
2026-08-25T03:29:48.966557+00:00,exploration,181.0,1,1,1397768,
2026-08-25T03:30:18.270087+00:00,exploration,210.3,1,1,1401628,
2026-08-25T03:30:48.599368+00:00,exploration,240.6,1,1,1408144,
2026-08-25T03:31:18.895286+00:00,exploration,270.9,1,1,1411288,
2026-08-25T03:31:48.190003+00:00,exploration,300.2,1,1,1417148,
2026-08-25T03:32:18.520596+00:00,exploration,330.5,1,1,1415644,
2026-08-25T03:32:48.816379+00:00,exploration,360.8,1,1,1419852,
2026-08-25T03:33:18.148405+00:00,exploration,390.1,1,1,1422452,
2026-08-25T03:33:48.452973+00:00,exploration,420.5,1,1,1426512,
2026-08-25T03:34:18.806135+00:00,exploration,450.8,1,1,1432256,
2026-08-25T03:34:48.140644+00:00,exploration,480.1,1,1,1437808,
2026-08-25T03:35:18.487833+00:00,exploration,510.5,1,1,1443156,
2026-08-25T03:35:48.834432+00:00,exploration,540.8,1,1,1444928,
2026-08-25T03:36:18.137924+00:00,exploration,570.1,1,1,1447772,
2026-08-25T03:36:48.430262+00:00,exploration,600.5,1,1,1451320,
2026-08-25T03:37:18.775093+00:00,exploration,630.7,1,1,1457484,
2026-08-25T03:37:48.104858+00:00,exploration,660.1,1,1,1457376,
2026-08-25T03:38:18.410752+00:00,exploration,690.4,1,1,1461252,
2026-08-25T03:38:48.718055+00:00,exploration,720.7,1,1,1463776,
2026-08-25T03:39:18.057226+00:00,exploration,750.0,1,1,1468512,
2026-08-25T03:39:48.362955+00:00,exploration,780.4,1,1,1469896,
2026-08-25T03:40:18.683845+00:00,exploration,810.7,1,1,1472484,
2026-08-25T03:40:47.977988+00:00,exploration,840.0,1,1,1474616,
2026-08-25T03:41:18.296140+00:00,exploration,870.3,1,1,1477596,
2026-08-25T03:41:48.592910+00:00,exploration,900.6,1,1,1478992,
2026-08-25T03:42:18.925352+00:00,exploration,930.9,1,1,1480912,
2026-08-25T03:42:48.252448+00:00,exploration,960.2,1,1,1481820,
2026-08-25T03:43:18.602860+00:00,exploration,990.6,1,1,1483548,
2026-08-25T03:43:48.923146+00:00,exploration,1020.9,1,1,1486188,
2026-08-25T03:44:18.265521+00:00,exploration,1050.2,1,1,1493048,
2026-08-25T03:44:48.632536+00:00,exploration,1080.6,1,1,1489004,
2026-08-25T03:45:18.938570+00:00,exploration,1110.9,1,1,1490916,
2026-08-25T03:45:48.234751+00:00,exploration,1140.3,1,1,1492016,
2026-08-25T03:46:18.565210+00:00,exploration,1170.6,1,1,1498004,
2026-08-25T03:46:48.867870+00:00,exploration,1200.9,1,1,1503416,
2026-08-25T03:47:18.162013+00:00,exploration,1230.2,1,1,1505040,
2026-08-25T03:47:48.488528+00:00,exploration,1260.5,1,1,1507376,
2026-08-25T03:48:18.780215+00:00,exploration,1290.8,1,1,1512636,
2026-08-25T03:48:48.089181+00:00,exploration,1320.1,1,1,1516312,
2026-08-25T03:49:18.374877+00:00,exploration,1350.4,1,1,1524508,
2026-08-25T03:49:48.700924+00:00,exploration,1380.7,1,1,1525140,
2026-08-25T03:50:18.016733+00:00,exploration,1410.0,1,1,1528232,
2026-08-25T03:50:48.347082+00:00,exploration,1440.3,1,1,1530784,
2026-08-25T03:51:18.670046+00:00,exploration,1470.7,1,1,1532784,
2026-08-25T03:51:49.001009+00:00,exploration,1501.0,1,1,1534548,
