timestamp,event,data
1787629974.403443813,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-25T03:52:54.403473+00:00""}"
1787629974.406839371,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [8, 7, 6, 5, 4, 3, 9, 15, 16, 10, 11, 35, 37, 20, 19, 15, 19, 23, 29, 30, 24, 25, 31, 32, 26, 38, 36, 12, 11, 12, 13, 14, 8, 14, 18, 17, 21, 22, 28, 34, 33, 27, 26], ""wall_time_utc"": ""2026-08-25T03:52:54.406996+00:00""}"
1787629974.407072067,LOOP_INSERTED,"{""path_index"": 15, ""vertex"": 15, ""wall_time_utc"": ""2026-08-25T03:52:54.407102+00:00""}"
1787629974.407072067,LOOP_INSERTED,"{""path_index"": 28, ""vertex"": 11, ""wall_time_utc"": ""2026-08-25T03:52:54.407132+00:00""}"
1787629974.407072067,LOOP_INSERTED,"{""path_index"": 32, ""vertex"": 8, ""wall_time_utc"": ""2026-08-25T03:52:54.407154+00:00""}"
1787629974.407072067,LOOP_INSERTED,"{""path_index"": 42, ""vertex"": 26, ""wall_time_utc"": ""2026-08-25T03:52:54.407175+00:00""}"
17.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:12.318318+00:00""}"
17.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-08-25T03:53:12.320142+00:00""}"
17.500000000,GOAL_REACHED,"{""vertex"": 8, ""wall_time_utc"": ""2026-08-25T03:53:12.322855+00:00""}"
17.500000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 8. #Frontier: 0"", ""wall_time_utc"": ""2026-08-25T03:53:12.322959+00:00""}"
18.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:13.296788+00:00""}"
18.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:53:13.298958+00:00""}"
24.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:19.300344+00:00""}"
24.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:53:19.302275+00:00""}"
30.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:25.320568+00:00""}"
30.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:53:25.322509+00:00""}"
30.500000000,GOAL_REACHED,"{""vertex"": 7, ""wall_time_utc"": ""2026-08-25T03:53:25.324918+00:00""}"
35.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:30.327283+00:00""}"
35.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:53:30.329133+00:00""}"
41.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:36.356176+00:00""}"
41.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 1"", ""wall_time_utc"": ""2026-08-25T03:53:36.358268+00:00""}"
41.600000000,NO_FRONTIER,"{""message"": ""No frontier at vertex 7. #Frontier: 0"", ""wall_time_utc"": ""2026-08-25T03:53:36.361259+00:00""}"
47.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:42.368496+00:00""}"
47.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-25T03:53:42.370476+00:00""}"
53.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:48.333849+00:00""}"
53.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-25T03:53:48.336014+00:00""}"
59.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:53:54.383243+00:00""}"
59.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-25T03:53:54.385206+00:00""}"
65.600000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-08-25T03:54:00.380526+00:00""}"
65.600000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 2"", ""wall_time_utc"": ""2026-08-25T03:54:00.382369+00:00""}"
65.600000000,GOAL_REACHED,"{""vertex"": 6, ""wall_time_utc"": ""2026-08-25T03:54:00.385423+00:00""}"
