wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-25T03:52:59.928145+00:00,mapping,0.0,1,1,1356532,
2026-08-25T03:53:13.138326+00:00,exploration,0.0,1,1,1363692,
2026-08-25T03:53:43.435156+00:00,exploration,30.3,1,1,1372656,
2026-08-25T03:54:13.739530+00:00,exploration,60.6,1,1,1377368,
2026-08-25T03:54:44.037422+00:00,exploration,90.9,1,1,1382248,
2026-08-25T03:55:13.362019+00:00,exploration,120.2,1,1,1387280,
2026-08-25T03:55:43.661454+00:00,exploration,150.6,1,1,1394524,
2026-08-25T03:56:13.985837+00:00,exploration,180.9,1,1,1399124,
2026-08-25T03:56:43.280473+00:00,exploration,210.2,1,1,1403364,
2026-08-25T03:57:13.612677+00:00,exploration,240.5,1,1,1407048,
2026-08-25T03:57:43.915854+00:00,exploration,270.8,1,1,1411336,
2026-08-25T03:58:13.220523+00:00,exploration,300.1,1,1,1414940,
2026-08-25T03:58:43.530697+00:00,exploration,330.4,1,1,1418012,
2026-08-25T03:59:13.837063+00:00,exploration,360.7,1,1,1422164,
2026-08-25T03:59:43.172074+00:00,exploration,390.0,1,1,1426512,
2026-08-25T04:00:13.475878+00:00,exploration,420.4,1,1,1429780,
2026-08-25T04:00:43.807912+00:00,exploration,450.7,1,1,1433384,
2026-08-25T04:01:13.108323+00:00,exploration,480.0,1,1,1435600,
2026-08-25T04:01:43.408658+00:00,exploration,510.3,1,1,1438188,
2026-08-25T04:02:13.705340+00:00,exploration,540.6,1,1,1444216,
2026-08-25T04:02:44.041261+00:00,exploration,570.9,1,1,1447952,
2026-08-25T04:03:13.330046+00:00,exploration,600.2,1,1,1454980,
2026-08-25T04:03:43.669181+00:00,exploration,630.5,1,1,1457148,
2026-08-25T04:04:13.974401+00:00,exploration,660.9,1,1,1460408,
2026-08-25T04:04:43.316232+00:00,exploration,690.2,1,1,1463172,
2026-08-25T04:05:13.621169+00:00,exploration,720.5,1,1,1460532,
2026-08-25T04:05:43.929922+00:00,exploration,750.8,1,1,1468504,
2026-08-25T04:06:13.263549+00:00,exploration,780.1,1,1,1469284,
2026-08-25T04:06:43.607801+00:00,exploration,810.5,1,1,1471640,
2026-08-25T04:07:13.943112+00:00,exploration,840.8,1,1,1473540,
2026-08-25T04:07:43.279181+00:00,exploration,870.1,1,1,1478392,
2026-08-25T04:08:13.608479+00:00,exploration,900.5,1,1,1477188,
2026-08-25T04:08:43.909913+00:00,exploration,930.8,1,1,1480920,
2026-08-25T04:09:13.207924+00:00,exploration,960.1,1,1,1483092,
2026-08-25T04:09:43.518869+00:00,exploration,990.4,1,1,1484264,
2026-08-25T04:10:13.806240+00:00,exploration,1020.7,1,1,1487208,
2026-08-25T04:10:44.118965+00:00,exploration,1051.0,1,1,1489908,
2026-08-25T04:11:13.405022+00:00,exploration,1080.3,1,1,1491988,
2026-08-25T04:11:43.712162+00:00,exploration,1110.6,1,1,1494740,
2026-08-25T04:12:14.003458+00:00,exploration,1140.9,1,1,1497672,
2026-08-25T04:12:43.346886+00:00,exploration,1170.2,1,1,1502668,
2026-08-25T04:13:13.662237+00:00,exploration,1200.5,1,1,1510252,
2026-08-25T04:13:43.981165+00:00,exploration,1230.9,1,1,1509512,
2026-08-25T04:14:13.291292+00:00,exploration,1260.2,1,1,1512088,
2026-08-25T04:14:43.580390+00:00,exploration,1290.5,1,1,1513992,
2026-08-25T04:15:13.872367+00:00,exploration,1320.8,1,1,1514980,
2026-08-25T04:15:43.205701+00:00,exploration,1350.1,1,1,1515876,
