wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-25T04:24:22.033551+00:00,mapping,0.0,1,1,1357368,
2026-08-25T04:24:35.238514+00:00,exploration,0.0,1,1,1364512,
2026-08-25T04:25:05.553062+00:00,exploration,30.3,1,1,1373956,
2026-08-25T04:25:35.860938+00:00,exploration,60.6,1,1,1378664,
2026-08-25T04:26:06.160448+00:00,exploration,90.9,1,1,1383272,
2026-08-25T04:26:35.455750+00:00,exploration,120.2,1,1,1387740,
2026-08-25T04:27:05.796591+00:00,exploration,150.5,1,1,1393528,
2026-08-25T04:27:36.089647+00:00,exploration,180.8,1,1,1399536,
2026-08-25T04:28:05.425205+00:00,exploration,210.1,1,1,1403332,
2026-08-25T04:28:35.716514+00:00,exploration,240.5,1,1,1409328,
2026-08-25T04:29:06.053470+00:00,exploration,270.8,1,1,1410596,
2026-08-25T04:29:35.356948+00:00,exploration,300.1,1,1,1412852,
2026-08-25T04:30:05.667926+00:00,exploration,330.4,1,1,1416888,
2026-08-25T04:30:35.989225+00:00,exploration,360.7,1,1,1417952,
2026-08-25T04:31:05.368306+00:00,exploration,390.0,1,1,1421380,
2026-08-25T04:31:35.672451+00:00,exploration,420.4,1,1,1428404,
2026-08-25T04:32:06.011545+00:00,exploration,450.7,1,1,1431060,
2026-08-25T04:32:35.358185+00:00,exploration,480.1,1,1,1433732,
2026-08-25T04:33:05.649970+00:00,exploration,510.4,1,1,1431892,
2026-08-25T04:33:35.973674+00:00,exploration,540.7,1,1,1435596,
2026-08-25T04:34:05.305390+00:00,exploration,570.0,1,1,1445700,
2026-08-25T04:34:35.639806+00:00,exploration,600.4,1,1,1446420,
2026-08-25T04:35:05.930831+00:00,exploration,630.7,1,1,1454736,
2026-08-25T04:35:36.243066+00:00,exploration,661.0,1,1,1457556,
2026-08-25T04:36:05.543418+00:00,exploration,690.3,1,1,1460212,
2026-08-25T04:36:35.874112+00:00,exploration,720.6,1,1,1467160,
2026-08-25T04:37:06.207590+00:00,exploration,750.9,1,1,1469212,
2026-08-25T04:37:35.507657+00:00,exploration,780.3,1,1,1473832,
2026-08-25T04:38:05.804499+00:00,exploration,810.6,1,1,1472064,
2026-08-25T04:38:36.129970+00:00,exploration,840.9,1,1,1473816,
2026-08-25T04:39:05.438796+00:00,exploration,870.2,1,1,1475720,
2026-08-25T04:39:35.744596+00:00,exploration,900.5,1,1,1477520,
2026-08-25T04:40:06.049298+00:00,exploration,930.8,1,1,1479128,
2026-08-25T04:40:35.392601+00:00,exploration,960.1,1,1,1481036,
2026-08-25T04:41:05.689346+00:00,exploration,990.4,1,1,1482776,
2026-08-25T04:41:35.987873+00:00,exploration,1020.7,1,1,1485172,
2026-08-25T04:42:05.289081+00:00,exploration,1050.0,1,1,1488432,
2026-08-25T04:42:35.582914+00:00,exploration,1080.3,1,1,1493072,
2026-08-25T04:43:05.911396+00:00,exploration,1110.6,1,1,1494880,
2026-08-25T04:43:36.206384+00:00,exploration,1141.0,1,1,1495984,
2026-08-25T04:44:05.504840+00:00,exploration,1170.3,1,1,1498364,
2026-08-25T04:44:35.801145+00:00,exploration,1200.6,1,1,1497968,
2026-08-25T04:45:06.155260+00:00,exploration,1230.9,1,1,1504128,
2026-08-25T04:45:35.484530+00:00,exploration,1260.2,1,1,1508800,
2026-08-25T04:46:05.785355+00:00,exploration,1290.5,1,1,1513384,
2026-08-25T04:46:36.125164+00:00,exploration,1320.8,1,1,1517392,
2026-08-25T04:47:05.432201+00:00,exploration,1350.2,1,1,1521204,
2026-08-25T04:47:35.736510+00:00,exploration,1380.5,1,1,1525120,
2026-08-25T04:48:06.039106+00:00,exploration,1410.8,1,1,1526712,
2026-08-25T04:48:35.350890+00:00,exploration,1440.1,1,1,1528108,
2026-08-25T04:49:05.684881+00:00,exploration,1470.4,1,1,1531076,
