wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-25T07:32:47.696313+00:00,mapping,0.0,1,1,1357344,
2026-08-25T07:33:00.927893+00:00,exploration,0.0,1,1,1364240,
2026-08-25T07:33:31.260346+00:00,exploration,30.3,1,1,1373516,
2026-08-25T07:34:01.556636+00:00,exploration,60.7,1,1,1377992,
2026-08-25T07:34:31.856412+00:00,exploration,91.0,1,1,1383760,
2026-08-25T07:35:01.198075+00:00,exploration,120.3,1,1,1390260,
2026-08-25T07:35:31.519116+00:00,exploration,150.6,1,1,1398504,
2026-08-25T07:36:01.832984+00:00,exploration,180.9,1,1,1398316,
2026-08-25T07:36:31.176003+00:00,exploration,210.2,1,1,1404324,
2026-08-25T07:37:01.484819+00:00,exploration,240.6,1,1,1413648,
2026-08-25T07:37:31.790759+00:00,exploration,270.9,1,1,1415468,
2026-08-25T07:38:01.130356+00:00,exploration,300.2,1,1,1414992,
2026-08-25T07:38:31.468561+00:00,exploration,330.5,1,1,1423396,
2026-08-25T07:39:01.784573+00:00,exploration,360.9,1,1,1426052,
2026-08-25T07:39:31.094831+00:00,exploration,390.2,1,1,1429520,
2026-08-25T07:40:01.389458+00:00,exploration,420.5,1,1,1432748,
2026-08-25T07:40:31.706241+00:00,exploration,450.8,1,1,1435968,
2026-08-25T07:41:01.020127+00:00,exploration,480.1,1,1,1437876,
2026-08-25T07:41:31.376836+00:00,exploration,510.4,1,1,1445240,
2026-08-25T07:42:01.732696+00:00,exploration,540.8,1,1,1448420,
2026-08-25T07:42:31.031145+00:00,exploration,570.1,1,1,1455496,
2026-08-25T07:43:01.346756+00:00,exploration,600.4,1,1,1457308,
2026-08-25T07:43:31.638669+00:00,exploration,630.8,1,1,1459684,
2026-08-25T07:44:00.976947+00:00,exploration,660.0,1,1,1464480,
2026-08-25T07:44:31.280458+00:00,exploration,690.4,1,1,1466828,
2026-08-25T07:45:01.617639+00:00,exploration,720.7,1,1,1465164,
2026-08-25T07:45:30.940279+00:00,exploration,750.0,1,1,1474092,
2026-08-25T07:46:01.246847+00:00,exploration,780.3,1,1,1482376,
2026-08-25T07:46:31.578242+00:00,exploration,810.7,1,1,1485336,
2026-08-25T07:47:01.891737+00:00,exploration,841.0,1,1,1482964,
2026-08-25T07:47:31.186482+00:00,exploration,870.3,1,1,1485204,
2026-08-25T07:48:01.532594+00:00,exploration,900.6,1,1,1486728,
2026-08-25T07:48:31.908872+00:00,exploration,930.9,1,1,1488808,
2026-08-25T07:49:01.254197+00:00,exploration,960.3,1,1,1491632,
2026-08-25T07:49:31.596451+00:00,exploration,990.7,1,1,1493732,
2026-08-25T07:50:01.906581+00:00,exploration,1021.0,1,1,1495060,
2026-08-25T07:50:31.221883+00:00,exploration,1050.3,1,1,1502644,
2026-08-25T07:51:01.549197+00:00,exploration,1080.6,1,1,1505960,
2026-08-25T07:51:31.889750+00:00,exploration,1111.0,1,1,1506372,
2026-08-25T07:52:01.180817+00:00,exploration,1140.3,1,1,1507192,
2026-08-25T07:52:31.472171+00:00,exploration,1170.6,1,1,1509476,
2026-08-25T07:53:01.813776+00:00,exploration,1200.9,1,1,1512284,
2026-08-25T07:53:31.147526+00:00,exploration,1230.2,1,1,1513032,
2026-08-25T07:54:01.525961+00:00,exploration,1260.6,1,1,1517032,
2026-08-25T07:54:31.850031+00:00,exploration,1290.9,1,1,1520484,
2026-08-25T07:55:01.138774+00:00,exploration,1320.3,1,1,1522376,
2026-08-25T07:55:31.491224+00:00,exploration,1350.5,1,1,1524464,
2026-08-25T07:56:01.786438+00:00,exploration,1380.9,1,1,1530300,
2026-08-25T07:56:31.112601+00:00,exploration,1410.2,1,1,1533524,
2026-08-25T07:57:01.459347+00:00,exploration,1440.5,1,1,1536064,
2026-08-25T07:57:31.769510+00:00,exploration,1470.9,1,1,1538392,
2026-08-25T07:58:01.069261+00:00,exploration,1500.2,1,1,1539660,
