wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-25T06:45:20.557315+00:00,mapping,0.0,1,1,1358024,
2026-08-25T06:45:33.840357+00:00,exploration,0.0,1,1,1365112,
2026-08-25T06:46:04.133821+00:00,exploration,30.3,1,1,1373308,
2026-08-25T06:46:34.425701+00:00,exploration,60.6,1,1,1378048,
2026-08-25T06:47:04.761561+00:00,exploration,90.9,1,1,1381584,
2026-08-25T06:47:34.053019+00:00,exploration,120.3,1,1,1387104,
2026-08-25T06:48:04.352409+00:00,exploration,150.6,1,1,1393640,
2026-08-25T06:48:34.708944+00:00,exploration,180.9,1,1,1399772,
2026-08-25T06:49:04.018614+00:00,exploration,210.2,1,1,1405400,
2026-08-25T06:49:34.326538+00:00,exploration,240.5,1,1,1414524,
2026-08-25T06:50:04.620709+00:00,exploration,270.8,1,1,1418984,
2026-08-25T06:50:33.932024+00:00,exploration,300.1,1,1,1419556,
2026-08-25T06:51:04.228641+00:00,exploration,330.4,1,1,1422316,
2026-08-25T06:51:34.543316+00:00,exploration,360.7,1,1,1424016,
2026-08-25T06:52:03.885206+00:00,exploration,390.0,1,1,1429364,
2026-08-25T06:52:34.183045+00:00,exploration,420.4,1,1,1435656,
2026-08-25T06:53:04.481421+00:00,exploration,450.7,1,1,1436792,
2026-08-25T06:53:34.836374+00:00,exploration,481.0,1,1,1440992,
2026-08-25T06:54:04.131280+00:00,exploration,510.3,1,1,1446340,
2026-08-25T06:54:34.428875+00:00,exploration,540.6,1,1,1448400,
2026-08-25T06:55:04.763093+00:00,exploration,570.9,1,1,1457020,
2026-08-25T06:55:34.057023+00:00,exploration,600.3,1,1,1463800,
2026-08-25T06:56:04.371781+00:00,exploration,630.6,1,1,1463296,
2026-08-25T06:56:34.690091+00:00,exploration,660.9,1,1,1467560,
2026-08-25T06:57:03.995112+00:00,exploration,690.2,1,1,1470208,
2026-08-25T06:57:34.286988+00:00,exploration,720.5,1,1,1477968,
2026-08-25T06:58:04.636628+00:00,exploration,750.8,1,1,1473964,
2026-08-25T06:58:33.924196+00:00,exploration,780.1,1,1,1477608,
2026-08-25T06:59:04.220232+00:00,exploration,810.4,1,1,1483356,
2026-08-25T06:59:34.531962+00:00,exploration,840.7,1,1,1486660,
2026-08-25T07:00:03.839116+00:00,exploration,870.0,1,1,1493288,
2026-08-25T07:00:34.180136+00:00,exploration,900.3,1,1,1495384,
2026-08-25T07:01:04.514385+00:00,exploration,930.7,1,1,1496504,
2026-08-25T07:01:33.809142+00:00,exploration,960.0,1,1,1497768,
2026-08-25T07:02:04.112578+00:00,exploration,990.3,1,1,1499844,
2026-08-25T07:02:34.458177+00:00,exploration,1020.6,1,1,1501340,
2026-08-25T07:03:04.764323+00:00,exploration,1051.0,1,1,1501008,
2026-08-25T07:03:34.070393+00:00,exploration,1080.3,1,1,1502760,
2026-08-25T07:04:04.366259+00:00,exploration,1110.6,1,1,1497772,
2026-08-25T07:04:34.708382+00:00,exploration,1140.9,1,1,1504804,
2026-08-25T07:05:04.005750+00:00,exploration,1170.2,1,1,1506440,
2026-08-25T07:05:34.288906+00:00,exploration,1200.5,1,1,1505436,
2026-08-25T07:06:04.621109+00:00,exploration,1230.8,1,1,1509736,
2026-08-25T07:06:33.952862+00:00,exploration,1260.1,1,1,1511232,
2026-08-25T07:07:04.268619+00:00,exploration,1290.4,1,1,1513784,
2026-08-25T07:07:34.570979+00:00,exploration,1320.8,1,1,1519856,
2026-08-25T07:08:03.852955+00:00,exploration,1350.1,1,1,1525040,
2026-08-25T07:08:34.145449+00:00,exploration,1380.3,1,1,1525436,
