map,seed,condition,method,loop_id,loop_vertex,local_boundary_f1,local_boundary_status,local_symmetric_boundary_distance_mean_m,local_distance_status,local_observed_coverage
map3,21001,A,Original,1,15,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21001,A,Original,2,11,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21001,A,Original,3,8,0.041666666666666664,AVAILABLE,1.9620203174959068,AVAILABLE,0.9944651821341228
map3,21001,A,Original,4,26,0.0,ESTIMATED_BOUNDARY_WITHOUT_GT,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21001,B,Always-Trace,1,15,1.0,AVAILABLE,0.0,AVAILABLE,1.0
map3,21001,B,Always-Trace,2,11,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21001,B,Always-Trace,3,8,0.23140495867768596,AVAILABLE,0.7570496895472126,AVAILABLE,0.9967820826361179
map3,21001,B,Always-Trace,4,26,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21001,C,Selective,1,15,1.0,AVAILABLE,0.0,AVAILABLE,1.0
map3,21001,C,Selective,2,11,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21001,C,Selective,3,8,0.3571014492753623,AVAILABLE,0.43478984338895355,AVAILABLE,0.9921482816321276
map3,21001,C,Selective,4,26,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21002,A,Original,1,8,1.0,AVAILABLE,0.0,AVAILABLE,0.9648603423864075
map3,21002,A,Original,2,38,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21002,A,Original,3,16,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21002,B,Always-Trace,1,8,0.0,AVAILABLE,0.9296258583420758,AVAILABLE,0.9921482816321276
map3,21002,B,Always-Trace,2,38,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21002,B,Always-Trace,3,16,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21002,C,Selective,1,8,0.0,AVAILABLE,1.2043485667547118,AVAILABLE,0.9944651821341228
map3,21002,C,Selective,2,38,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21002,C,Selective,3,16,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21003,A,Original,1,15,1.0,AVAILABLE,0.021428571428571432,AVAILABLE,0.9997444742557813
map3,21003,A,Original,2,37,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21003,A,Original,3,8,0.3469557964970809,AVAILABLE,0.4243797889117217,AVAILABLE,0.9976830994980049
map3,21003,A,Original,4,21,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21003,B,Always-Trace,1,15,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21003,B,Always-Trace,2,37,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21003,B,Always-Trace,3,8,0.03529411764705883,AVAILABLE,1.7397130794740758,AVAILABLE,0.9944651821341228
map3,21003,B,Always-Trace,4,21,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21003,C,Selective,1,15,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
map3,21003,C,Selective,2,37,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21003,C,Selective,3,8,0.09708737864077671,AVAILABLE,0.3494875105533627,AVAILABLE,0.9857124469043635
map3,21003,C,Selective,4,21,,NOT_APPLICABLE_NO_GT_BOUNDARY,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
map3,21004,A,Original,1,15,0.0,AVAILABLE,0.9,AVAILABLE,1.0
map3,21004,A,Original,2,26,0.0,ESTIMATED_BOUNDARY_WITHOUT_GT,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0
