contrast,metric,paired_block_n,mean_difference,median_difference,minimum_difference,maximum_difference,positive_count,tie_count,negative_count,sign_note
C-A,active_loop_distance_m,15,3.6538795320089714,0.0,-27.993079648405278,50.098212018782235,6,5,4,raw left-minus-right difference; metric direction is not normalized
C-A,active_loop_time_s,15,23.15999999999998,0.0,-84.69999999999993,221.0,6,5,4,raw left-minus-right difference; metric direction is not normalized
C-A,ape_rmse_m,15,-1.8476859333333333,0.02813199999999999,-23.366346,8.408483,9,0,6,raw left-minus-right difference; metric direction is not normalized
C-A,boundary_f1,15,-0.002741725901020133,-0.006059862124063842,-0.2307667016002608,0.2212340457812343,7,0,8,raw left-minus-right difference; metric direction is not normalized
C-A,local_boundary_f1_mean,15,-0.08850634960854205,-0.013742830202274244,-1.0,0.6646618357487923,6,0,9,raw left-minus-right difference; metric direction is not normalized
C-A,local_observed_coverage_mean,15,-0.01614844398954894,0.000343852750204654,-0.2849356178113648,0.027238381264568123,8,0,7,raw left-minus-right difference; metric direction is not normalized
C-A,local_symmetric_boundary_distance_mean_m,15,-0.02541690578147664,0.034502139957781314,-1.74462539580143,1.2043485667547118,11,0,4,raw left-minus-right difference; metric direction is not normalized
C-A,rpe_rotation_rmse_deg,15,0.08392613333333344,0.02984399999999998,-7.863453,9.714441,10,0,5,raw left-minus-right difference; metric direction is not normalized
C-A,rpe_translation_rmse_m,15,-0.006587999999999999,-0.00028500000000000053,-0.118058,0.090922,7,0,8,raw left-minus-right difference; metric direction is not normalized
C-A,symmetric_boundary_distance_mean_m,15,0.07609782627856314,0.009842345655973611,-0.434694446780239,1.3580147243539527,10,0,5,raw left-minus-right difference; metric direction is not normalized
C-A,target_realization_rate,10,-0.008333333333333337,0.0,-0.6666666666666666,0.3333333333333333,2,7,1,raw left-minus-right difference; metric direction is not normalized
B-A,active_loop_distance_m,15,40.803073356166195,24.634531449995166,0.0,135.84511299265097,10,5,0,raw left-minus-right difference; metric direction is not normalized
B-A,active_loop_time_s,15,170.32666666666665,133.19999999999993,0.0,765.4999999999997,10,5,0,raw left-minus-right difference; metric direction is not normalized
B-A,ape_rmse_m,15,-2.4876171333333335,-0.021911,-23.652161,0.589546,6,0,9,raw left-minus-right difference; metric direction is not normalized
B-A,boundary_f1,15,0.03146958237771938,-0.002484402434667049,-0.10633200815445637,0.2683117061929546,7,0,8,raw left-minus-right difference; metric direction is not normalized
B-A,local_boundary_f1_mean,15,-0.040780238867837784,-0.002784941050459025,-1.0,0.6018135904499542,7,0,8,raw left-minus-right difference; metric direction is not normalized
B-A,local_observed_coverage_mean,15,-0.0028043249300370165,-0.0009786633891948338,-0.026173487955264085,0.014267474187959928,6,0,9,raw left-minus-right difference; metric direction is not normalized
B-A,local_symmetric_boundary_distance_mean_m,15,0.025860572820997015,0.002969370909515767,-1.5834954727223005,1.5168088993039293,9,0,6,raw left-minus-right difference; metric direction is not normalized
B-A,rpe_rotation_rmse_deg,15,-0.5027417333333334,0.07675400000000002,-4.793263,3.066811,8,0,7,raw left-minus-right difference; metric direction is not normalized
B-A,rpe_translation_rmse_m,15,-0.001653933333333334,0.0005490000000000009,-0.094027,0.041912,8,0,7,raw left-minus-right difference; metric direction is not normalized
B-A,symmetric_boundary_distance_mean_m,15,-0.02510746374070126,-0.002716603047127092,-0.39919496361478674,0.13255321832557376,7,0,8,raw left-minus-right difference; metric direction is not normalized
B-A,target_realization_rate,10,0.0,0.0,-0.3333333333333333,0.3333333333333333,1,8,1,raw left-minus-right difference; metric direction is not normalized
C-B,active_loop_distance_m,15,-37.14919382415722,-32.07091621085624,-162.7673227012338,1.7437465116510396,1,5,9,raw left-minus-right difference; metric direction is not normalized
C-B,active_loop_time_s,15,-147.16666666666666,-108.0,-850.1999999999996,0.0,0,5,10,raw left-minus-right difference; metric direction is not normalized
C-B,ape_rmse_m,15,0.6399311999999999,0.058831999999999995,-0.53663,8.430394,11,0,4,raw left-minus-right difference; metric direction is not normalized
C-B,boundary_f1,15,-0.03421130827873952,-0.026100864608501917,-0.21907092347134255,0.08758532084120024,3,0,12,raw left-minus-right difference; metric direction is not normalized
C-B,local_boundary_f1_mean,15,-0.04772611074070427,-0.005192016127498228,-0.27149648348325095,0.08964774897601238,6,1,8,raw left-minus-right difference; metric direction is not normalized
C-B,local_observed_coverage_mean,15,-0.013344119059511923,0.0007723001673317631,-0.2593814688097811,0.03847856307490205,8,0,7,raw left-minus-right difference; metric direction is not normalized
C-B,local_symmetric_boundary_distance_mean_m,15,-0.0512774786024737,0.03360161341961802,-1.3902255689207133,0.274722708412636,10,0,5,raw left-minus-right difference; metric direction is not normalized
C-B,rpe_rotation_rmse_deg,15,0.5866678666666668,-0.06900600000000001,-3.07019,11.950198,5,0,10,raw left-minus-right difference; metric direction is not normalized
C-B,rpe_translation_rmse_m,15,-0.00493406666666667,-0.007065999999999996,-0.035962999999999995,0.108238,3,0,12,raw left-minus-right difference; metric direction is not normalized
C-B,symmetric_boundary_distance_mean_m,15,0.10120529001926439,0.012558948703100703,-0.08909635908242625,1.2407371876930067,9,0,6,raw left-minus-right difference; metric direction is not normalized
C-B,target_realization_rate,10,-0.008333333333333337,0.0,-0.6666666666666666,0.3333333333333333,2,7,1,raw left-minus-right difference; metric direction is not normalized
