map,seed,condition,method,loop_id,event_seq,historical_pose_count,mean_historical_pose_correction_m,median_historical_pose_correction_m,max_historical_pose_correction_m,status,reason
map3,21003,C,Selective,4,1,512,0.0,0.0,0.0,AVAILABLE,
map8,21001,A,Original,2,3,491,0.0,0.0,0.0,AVAILABLE,
map8,21001,B,Always-Trace,3,4,395,0.0,0.0,0.0,AVAILABLE,
map8,21001,C,Selective,2,3,502,0.0,0.0,0.0,AVAILABLE,
map8,21002,B,Always-Trace,3,4,392,0.0,0.0,0.0,AVAILABLE,
map8,21002,C,Selective,3,3,413,0.0,0.0,0.0,AVAILABLE,
map8,21003,A,Original,2,4,474,0.0,0.0,0.0,AVAILABLE,
map8,21003,C,Selective,2,2,503,0.0,0.0,0.0,AVAILABLE,
map8,21004,A,Original,2,3,478,0.0,0.0,0.0,AVAILABLE,
map8,21004,A,Original,3,4,366,0.0,0.0,0.0,AVAILABLE,
map8,21004,B,Always-Trace,2,3,524,0.0,0.0,0.0,AVAILABLE,
map8,21004,B,Always-Trace,3,4,395,0.0,0.0,0.0,AVAILABLE,
map8,21005,A,Original,2,2,462,0.0,0.0,0.0,AVAILABLE,
map8,21005,B,Always-Trace,3,3,412,0.0,0.0,0.0,AVAILABLE,
map8,21005,C,Selective,2,3,479,0.0,0.0,0.0,AVAILABLE,
