map,seed,condition,method,validity,run_dir,planned_active_loops,executed_active_loops,target_attributable_loops,target_realization_rate,temporally_associated_events,passive_or_unrelated_events,active_loop_distance_m,active_loop_time_s,total_exploration_distance_m,total_exploration_sim_time_s,total_exploration_wall_time_s,wall_sim_ratio,repair_count,no_repair_count,early_stop_count,actual_generated_repair_length_m,actual_executed_repair_length_m,avoided_nominal_repair_path_length_lower_bound_m,avoided_path_interpretation,ape_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_deg,boundary_f1,symmetric_boundary_distance_mean_m,symmetric_boundary_distance_median_m,symmetric_boundary_distance_p95_m,occupied_iou,local_boundary_f1_mean,local_symmetric_boundary_distance_mean_m,local_observed_coverage_mean
map3,21001,A,Original,VALID,results/phase4b/map3/seed_21001/A_original,4,4,0,0.0,0,0,66.77195318445614,224.90000000000032,555.1363452023396,1470.6000000000001,1471.7065646030005,1.000752457910377,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,1.931035,0.033705,0.208282,0.391957362057004,0.7622317676106767,0.35000000000000003,2.8,0.06127131782945736,0.013888888888888888,1.9620203174959068,0.9986162955335307
map3,21001,B,Always-Trace,VALID,results/phase4b/map3/seed_21001/B_always_trace,4,4,0,0.0,0,0,145.6834775554711,450.4000000000002,573.2725211800544,1505.8000000000002,1506.275762363999,1.0003159532235348,4,0,0,41.74,145.6834775554711,0.0,geometric lower bound; not observed counterfactual travel,0.560084,0.062831,0.308477,0.4361416862266569,0.4969520226149495,0.28027756377319946,1.5500000000000003,0.07734498811410459,0.615702479338843,0.3785248447736063,0.9991955206590295
map3,21001,C,Selective,VALID,results/phase4b/map3/seed_21001/C_selective,4,4,0,0.0,0,0,101.20340042595504,326.9000000000001,521.1170616069053,1419.7,1420.022265391999,1.0002269954159322,2,2,0,22.12,57.704297399019794,0.0,geometric lower bound; not observed counterfactual travel,0.604666,0.052307,0.243688,0.5237270070678571,0.47632899927642014,0.25,1.4307764064044153,0.07327045197529483,0.6785507246376812,0.21739492169447677,0.9980370704080319
map3,21002,A,Original,VALID,results/phase4b/map3/seed_21002/A_original,3,3,0,0.0,1,0,57.999168481480226,167.0,462.9419953372351,1140.7,1141.4532170679995,1.0006603112720254,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.2401,0.034865,0.209592,0.5585871364291201,0.38562071087325794,0.2118033988749895,1.2,0.07782874426627004,1.0,0.0,0.9882867807954692
map3,21002,B,Always-Trace,VALID,results/phase4b/map3/seed_21002/B_always_trace,3,3,0,0.0,0,0,112.53003632893194,347.49999999999994,521.3225267769292,1396.0,1396.2735674569994,1.0001959652270769,3,0,0,32.24,112.53003632893194,0.0,geometric lower bound; not observed counterfactual travel,0.508673,0.074704,0.36275,0.4522551282746637,0.45887606614870136,0.28027756377319946,1.3737756131336967,0.08309247650863956,0.0,0.9296258583420758,0.9973827605440425
map3,21002,C,Selective,VALID,results/phase4b/map3/seed_21002/C_selective,3,3,0,0.0,0,0,66.86503965675882,239.49999999999994,469.1382249075234,1183.6999999999998,1183.7985632419986,1.0000832670794955,1,2,0,9.94,28.263384370567586,0.0,geometric lower bound; not observed counterfactual travel,1.15693,0.044769,0.211664,0.32782043482885925,0.6803233504839454,0.4328427124746191,2.0103718436910203,0.055986987733737725,0.0,1.2043485667547118,0.9981550607113743
map3,21003,A,Original,VALID,results/phase4b/map3/seed_21003/A_original,4,4,0,0.0,0,0,97.33768317459291,310.9999999999999,506.3327893861121,1348.8,1349.1714406240026,1.000275385990512,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.622606,0.052417,0.337893,0.4622214850226168,0.4445643063876865,0.258113883008419,1.3433981132056605,0.08329784835808932,0.6734778982485404,0.22290418017014654,0.9993568934384466
map3,21003,B,Always-Trace,VALID,results/phase4b/map3/seed_21003/B_always_trace,4,4,0,0.0,0,0,143.23976177465525,487.2999999999999,572.5501009838457,1525.0,1525.4727527689975,1.000310001815736,4,0,0,44.32,143.23976177465525,0.0,geometric lower bound; not observed counterfactual travel,1.043301,0.079285,0.502674,0.5234996555466301,0.5283644826327049,0.25,1.85,0.0723437636189314,0.017647058823529415,1.7397130794740758,0.9986162955335307
map3,21003,C,Selective,VALID,results/phase4b/map3/seed_21003/C_selective,4,4,1,0.25,0,0,111.16884556379901,356.9,520.4522244488797,1397.2,1397.6287279949993,1.0003068479780985,1,3,0,9.8,33.364683861739636,0.0,geometric lower bound; not observed counterfactual travel,0.506671,0.043322,0.263487,0.48550994461069896,0.4392681235502786,0.25,1.35,0.07089723119577192,0.048543689320388356,0.3494875105533627,0.9964281117260909
map3,21004,A,Original,VALID,results/phase4b/map3/seed_21004/A_original,5,5,0,0.0,0,0,106.08225816693728,263.30000000000007,603.751056596735,1383.8,1384.2601126910013,1.0003324994153788,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,1.823823,0.032476,0.140586,0.3242843198320291,0.8525366573718709,0.6000000000000001,2.5936263672131936,0.04997309987283576,0.1283623417721519,1.0081293591005664,0.9801206686939189
