map,seed,condition,method,loop_id,vertex,event_seq,current_scan,current_scan_time,chain_start,chain_end,active_start,active_end,baseline_anchor_scan,h_star_ids,matched_h_star_ids,attribution_class,run_dir
map3,21002,A,Original,1,8,1,280,515.0,15,19,500.1,533.1,0,"[0, 1, 2, 3, 4, 5, 6]",[],TEMPORALLY_ASSOCIATED,results/phase4b/map3/seed_21002/A_original
map3,21003,C,Selective,4,21,1,760,1413.4,506,511,1346.3,1414.9,505,"[505, 506, 507, 508, 509, 510, 511]","[506, 507, 508, 509, 510, 511]",TARGET_ATTRIBUTABLE,results/phase4b/map3/seed_21003/C_selective
map3,21004,B,Always-Trace,1,15,1,273,477.1,161,164,451.0,551.1,171,"[171, 172, 173, 174, 175, 176, 177]",[],TEMPORALLY_ASSOCIATED,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,B,Always-Trace,4,22,2,937,1565.4,548,551,1536.6,1665.7,554,"[554, 555, 556, 557, 558, 559, 560]",[],TEMPORALLY_ASSOCIATED,results/phase4b/map3/seed_21004/B_always_trace
map3,21004,C,Selective,,,1,482,866.5,349,352,,,,,[],PASSIVE_OR_UNRELATED,results/phase4b/map3/seed_21004/C_selective
map3,21005,C,Selective,2,26,1,490,971.8,413,418,948.4,972.5,406,"[406, 407, 408, 409, 410, 411, 412]",[],TEMPORALLY_ASSOCIATED,results/phase4b/map3/seed_21005/C_selective
map3,21005,C,Selective,5,8,2,728,1475.5,15,18,1464.8,1476.5,0,"[0, 1, 2, 3, 4, 5, 6]",[],TEMPORALLY_ASSOCIATED,results/phase4b/map3/seed_21005/C_selective
map8,21001,A,Original,,,1,361,432.6,345,351,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/map8/seed_21001/A_original/attempt_01
map8,21001,A,Original,1,20,2,501,690.5,9,13,671.8,711.9,1,"[1, 2, 3, 4, 5, 6, 7]",[],TEMPORALLY_ASSOCIATED,results/phase4c/formal/map8/seed_21001/A_original/attempt_01
map8,21001,A,Original,2,38,3,814,1098.3,486,490,1086.2,1126.4,488,"[488, 489, 490, 491, 492, 493, 494]","[488, 489, 490]",TARGET_ATTRIBUTABLE,results/phase4c/formal/map8/seed_21001/A_original/attempt_01
map8,21001,B,Always-Trace,,,1,173,240.4,59,64,,,,,[],PASSIVE_OR_UNRELATED,results/phase4c/formal/map8/seed_21001/B_always_trace/attempt_01
