map,seed,conditions_present,initial_tsp_A_hash,initial_tsp_B_hash,initial_tsp_C_hash,initial_tsp_exact_match,full_tsp_A_hash,full_tsp_B_hash,full_tsp_C_hash,full_tsp_exact_match,interpretation
map3,21001,ABC,6cf06d36ab1a5d03c382e793515d83e165d8fd662f66010413db2643efbe77df,6cf06d36ab1a5d03c382e793515d83e165d8fd662f66010413db2643efbe77df,6cf06d36ab1a5d03c382e793515d83e165d8fd662f66010413db2643efbe77df,True,6cf06d36ab1a5d03c382e793515d83e165d8fd662f66010413db2643efbe77df,6cf06d36ab1a5d03c382e793515d83e165d8fd662f66010413db2643efbe77df,6cf06d36ab1a5d03c382e793515d83e165d8fd662f66010413db2643efbe77df,True,initial-condition match; full-path divergence is retained as outcome
map3,21002,ABC,c1b13895477263965caf74b7e06afbf8c1f2da74ed0094af89a59fc293607085,c1b13895477263965caf74b7e06afbf8c1f2da74ed0094af89a59fc293607085,c1b13895477263965caf74b7e06afbf8c1f2da74ed0094af89a59fc293607085,True,c1b13895477263965caf74b7e06afbf8c1f2da74ed0094af89a59fc293607085,c1b13895477263965caf74b7e06afbf8c1f2da74ed0094af89a59fc293607085,c1b13895477263965caf74b7e06afbf8c1f2da74ed0094af89a59fc293607085,True,initial-condition match; full-path divergence is retained as outcome
map3,21003,ABC,aa61777ec7bcdedf9b865fac4dcf8589e29a96dc8889a92b47aaf100b0437ebb,aa61777ec7bcdedf9b865fac4dcf8589e29a96dc8889a92b47aaf100b0437ebb,aa61777ec7bcdedf9b865fac4dcf8589e29a96dc8889a92b47aaf100b0437ebb,True,aa61777ec7bcdedf9b865fac4dcf8589e29a96dc8889a92b47aaf100b0437ebb,aa61777ec7bcdedf9b865fac4dcf8589e29a96dc8889a92b47aaf100b0437ebb,aa61777ec7bcdedf9b865fac4dcf8589e29a96dc8889a92b47aaf100b0437ebb,True,initial-condition match; full-path divergence is retained as outcome
map3,21004,ABC,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,True,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,True,initial-condition match; full-path divergence is retained as outcome
map3,21005,ABC,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,True,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,ee492f3fdc0bc6ce51e53cb272fb60e4e291435688da43f9d5699d64f55cb086,True,initial-condition match; full-path divergence is retained as outcome
map8,21001,ABC,db5623a40ea4e792b0f2dd1ec74179345f568bd72ebe4148e3801da8924be595,db5623a40ea4e792b0f2dd1ec74179345f568bd72ebe4148e3801da8924be595,db5623a40ea4e792b0f2dd1ec74179345f568bd72ebe4148e3801da8924be595,True,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,True,initial-condition match; full-path divergence is retained as outcome
map8,21002,ABC,b447c5d3e623ad981e240b2a9305545145a8a7b1132133f7fbc763bc0121f6b0,b447c5d3e623ad981e240b2a9305545145a8a7b1132133f7fbc763bc0121f6b0,b447c5d3e623ad981e240b2a9305545145a8a7b1132133f7fbc763bc0121f6b0,True,682670805a1c55655e9b441a8f1daa49014faf9958e7c00cda068c738f4bb289,682670805a1c55655e9b441a8f1daa49014faf9958e7c00cda068c738f4bb289,682670805a1c55655e9b441a8f1daa49014faf9958e7c00cda068c738f4bb289,True,initial-condition match; full-path divergence is retained as outcome
map8,21003,ABC,4a77e0b053b9b48e9aaf855e418dce563355013a265d77e9a95b7e396c5386a6,4a77e0b053b9b48e9aaf855e418dce563355013a265d77e9a95b7e396c5386a6,4a77e0b053b9b48e9aaf855e418dce563355013a265d77e9a95b7e396c5386a6,True,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,True,initial-condition match; full-path divergence is retained as outcome
map8,21004,ABC,845297a0ffd2b7b13a8ef7fb4cd7977270b6d94ad08bf5e4cc76e67257afdc2a,845297a0ffd2b7b13a8ef7fb4cd7977270b6d94ad08bf5e4cc76e67257afdc2a,845297a0ffd2b7b13a8ef7fb4cd7977270b6d94ad08bf5e4cc76e67257afdc2a,True,5bb402db4b5d73acbec072d62b22178b525edb6db5a362049adc2540728926a2,5bb402db4b5d73acbec072d62b22178b525edb6db5a362049adc2540728926a2,5bb402db4b5d73acbec072d62b22178b525edb6db5a362049adc2540728926a2,True,initial-condition match; full-path divergence is retained as outcome
map8,21005,ABC,bc6fad1a08fa941b99f19abba5efcfab533c42d60e1ebf539a9675b44dd29fb1,bc6fad1a08fa941b99f19abba5efcfab533c42d60e1ebf539a9675b44dd29fb1,bc6fad1a08fa941b99f19abba5efcfab533c42d60e1ebf539a9675b44dd29fb1,True,610bc6cf39d3555a107100ae1991adfd46d567c3fa8e89375679aabc45bba532,610bc6cf39d3555a107100ae1991adfd46d567c3fa8e89375679aabc45bba532,610bc6cf39d3555a107100ae1991adfd46d567c3fa8e89375679aabc45bba532,True,initial-condition match; full-path divergence is retained as outcome
radish_mexico,21001,ABC,f8fa22b534c1a9053e3f5ad5c64cefe77e1e4e7f936474bd7f505190e054c236,f8fa22b534c1a9053e3f5ad5c64cefe77e1e4e7f936474bd7f505190e054c236,f8fa22b534c1a9053e3f5ad5c64cefe77e1e4e7f936474bd7f505190e054c236,True,ac70b72c7a04004d86e8f18208763ad4655d5c4d789be6d7b26d111ba8b56d0b,ac70b72c7a04004d86e8f18208763ad4655d5c4d789be6d7b26d111ba8b56d0b,ac70b72c7a04004d86e8f18208763ad4655d5c4d789be6d7b26d111ba8b56d0b,True,initial-condition match; full-path divergence is retained as outcome
radish_mexico,21002,ABC,b9a52b3e065d8744c92c84f74a9d86e4233c124429c293b8bf4a5b61bf80a217,b9a52b3e065d8744c92c84f74a9d86e4233c124429c293b8bf4a5b61bf80a217,b9a52b3e065d8744c92c84f74a9d86e4233c124429c293b8bf4a5b61bf80a217,True,80c5dafb9537d552a7a4dbb6eb5d8f4e508ed873f2dde6d20404a252f2bde4cc,80c5dafb9537d552a7a4dbb6eb5d8f4e508ed873f2dde6d20404a252f2bde4cc,80c5dafb9537d552a7a4dbb6eb5d8f4e508ed873f2dde6d20404a252f2bde4cc,True,initial-condition match; full-path divergence is retained as outcome
radish_mexico,21003,ABC,94d6c8fccf5efb5e3d96e118f1d973a01efa4bc335d3471ecf860a53a315a65c,94d6c8fccf5efb5e3d96e118f1d973a01efa4bc335d3471ecf860a53a315a65c,94d6c8fccf5efb5e3d96e118f1d973a01efa4bc335d3471ecf860a53a315a65c,True,4c1e8f9b140d90089494bc4b2c7c0d3e63a4cdf4d3c300016048382ea5b96e65,4c1e8f9b140d90089494bc4b2c7c0d3e63a4cdf4d3c300016048382ea5b96e65,4c1e8f9b140d90089494bc4b2c7c0d3e63a4cdf4d3c300016048382ea5b96e65,True,initial-condition match; full-path divergence is retained as outcome
radish_mexico,21004,ABC,c101e4c11298875048c25be05477bffedd6ac4cb55213e1fdd4275a3cc7c6da0,c101e4c11298875048c25be05477bffedd6ac4cb55213e1fdd4275a3cc7c6da0,c101e4c11298875048c25be05477bffedd6ac4cb55213e1fdd4275a3cc7c6da0,True,b566ce98e0d0def70883ce691a39b1d9a527af9437d89f33fec8b2f12e6a2f22,b566ce98e0d0def70883ce691a39b1d9a527af9437d89f33fec8b2f12e6a2f22,b566ce98e0d0def70883ce691a39b1d9a527af9437d89f33fec8b2f12e6a2f22,True,initial-condition match; full-path divergence is retained as outcome
radish_mexico,21005,ABC,ac516a3b592a5e51631506d2f51c154ffb67bf553edd145ec0326316d0f65877,ac516a3b592a5e51631506d2f51c154ffb67bf553edd145ec0326316d0f65877,ac516a3b592a5e51631506d2f51c154ffb67bf553edd145ec0326316d0f65877,True,7f3b23b405e161a41ce1b25af1d48e57d940aeeee0fa4831ece05ef75f8e6d24,7f3b23b405e161a41ce1b25af1d48e57d940aeeee0fa4831ece05ef75f8e6d24,7f3b23b405e161a41ce1b25af1d48e57d940aeeee0fa4831ece05ef75f8e6d24,True,initial-condition match; full-path divergence is retained as outcome
