wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-31T07:59:33.541129+00:00,mapping,0.0,1,1,1503772,
2026-08-31T07:59:46.747064+00:00,exploration,0.0,1,1,1509956,
2026-08-31T08:00:17.061967+00:00,exploration,30.3,1,1,1525680,
2026-08-31T08:00:47.358634+00:00,exploration,60.6,1,1,1538364,
2026-08-31T08:01:17.688866+00:00,exploration,90.9,1,1,1541248,
2026-08-31T08:01:46.984553+00:00,exploration,120.3,1,1,1549572,
2026-08-31T08:02:17.295735+00:00,exploration,150.6,1,1,1553000,
2026-08-31T08:02:47.597891+00:00,exploration,180.9,1,1,1558588,
2026-08-31T08:03:16.924376+00:00,exploration,210.2,1,1,1563008,
2026-08-31T08:03:47.251854+00:00,exploration,240.5,1,1,1565308,
2026-08-31T08:04:17.556175+00:00,exploration,270.8,1,1,1579300,
2026-08-31T08:04:46.867959+00:00,exploration,300.1,1,1,1583656,
2026-08-31T08:05:17.215080+00:00,exploration,330.5,1,1,1586176,
2026-08-31T08:05:47.572848+00:00,exploration,360.8,1,1,1589468,
2026-08-31T08:06:16.868841+00:00,exploration,390.2,1,1,1595216,
2026-08-31T08:06:47.182439+00:00,exploration,420.5,1,1,1599640,
2026-08-31T08:07:17.532851+00:00,exploration,450.8,1,1,1604444,
2026-08-31T08:07:46.872597+00:00,exploration,480.1,1,1,1606840,
2026-08-31T08:08:17.214367+00:00,exploration,510.5,1,1,1609220,
2026-08-31T08:08:47.543304+00:00,exploration,540.8,1,1,1611860,
2026-08-31T08:09:16.845916+00:00,exploration,570.1,1,1,1616232,
2026-08-31T08:09:47.178041+00:00,exploration,600.4,1,1,1618304,
2026-08-31T08:10:17.488967+00:00,exploration,630.8,1,1,1620376,
2026-08-31T08:10:46.794539+00:00,exploration,660.1,1,1,1623296,
2026-08-31T08:11:17.109321+00:00,exploration,690.4,1,1,1627360,
2026-08-31T08:11:47.419897+00:00,exploration,720.7,1,1,1628592,
2026-08-31T08:12:16.730506+00:00,exploration,750.0,1,1,1636064,
2026-08-31T08:12:47.037446+00:00,exploration,780.3,1,1,1645548,
2026-08-31T08:13:17.363177+00:00,exploration,810.6,1,1,1644680,
2026-08-31T08:13:47.657013+00:00,exploration,840.9,1,1,1647292,
2026-08-31T08:14:16.958969+00:00,exploration,870.2,1,1,1650632,
2026-08-31T08:14:47.285393+00:00,exploration,900.5,1,1,1655664,
2026-08-31T08:15:17.569613+00:00,exploration,930.9,1,1,1658348,
2026-08-31T08:15:46.875689+00:00,exploration,960.2,1,1,1662304,
2026-08-31T08:16:17.214972+00:00,exploration,990.5,1,1,1665380,
2026-08-31T08:16:47.560841+00:00,exploration,1020.8,1,1,1673084,
2026-08-31T08:17:16.885343+00:00,exploration,1050.1,1,1,1673560,
2026-08-31T08:17:47.193428+00:00,exploration,1080.5,1,1,1676356,
2026-08-31T08:18:17.497508+00:00,exploration,1110.8,1,1,1677628,
2026-08-31T08:18:46.806357+00:00,exploration,1140.1,1,1,1681340,
2026-08-31T08:19:17.110328+00:00,exploration,1170.4,1,1,1685904,
2026-08-31T08:19:47.444002+00:00,exploration,1200.7,1,1,1690512,
2026-08-31T08:20:16.761247+00:00,exploration,1230.0,1,1,1694060,
2026-08-31T08:20:47.066014+00:00,exploration,1260.3,1,1,1697904,
2026-08-31T08:21:17.378492+00:00,exploration,1290.7,1,1,1700776,
2026-08-31T08:21:47.715106+00:00,exploration,1321.0,1,1,1709188,
2026-08-31T08:22:17.044203+00:00,exploration,1350.3,1,1,1713144,
2026-08-31T08:22:47.375211+00:00,exploration,1380.6,1,1,1711324,
2026-08-31T08:23:17.716053+00:00,exploration,1411.0,1,1,1712600,
