wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-08-31T08:51:47.561726+00:00,mapping,0.0,1,1,1503264,
2026-08-31T08:52:00.712209+00:00,exploration,0.0,1,1,1510404,
2026-08-31T08:52:31.009840+00:00,exploration,30.3,1,1,1527760,
2026-08-31T08:53:01.348262+00:00,exploration,60.6,1,1,1538012,
2026-08-31T08:53:31.676582+00:00,exploration,90.9,1,1,1543392,
2026-08-31T08:54:00.990229+00:00,exploration,120.3,1,1,1551208,
2026-08-31T08:54:31.351399+00:00,exploration,150.6,1,1,1554920,
2026-08-31T08:55:01.650573+00:00,exploration,180.9,1,1,1558444,
2026-08-31T08:55:30.993230+00:00,exploration,210.2,1,1,1564512,
2026-08-31T08:56:01.312549+00:00,exploration,240.6,1,1,1564696,
2026-08-31T08:56:31.623279+00:00,exploration,270.9,1,1,1569688,
2026-08-31T08:57:00.929420+00:00,exploration,300.2,1,1,1574940,
2026-08-31T08:57:31.227363+00:00,exploration,330.5,1,1,1586072,
2026-08-31T08:58:01.569435+00:00,exploration,360.8,1,1,1586456,
2026-08-31T08:58:30.878733+00:00,exploration,390.1,1,1,1591984,
2026-08-31T08:59:01.183356+00:00,exploration,420.5,1,1,1596496,
2026-08-31T08:59:31.491651+00:00,exploration,450.8,1,1,1599900,
2026-08-31T09:00:00.846601+00:00,exploration,480.1,1,1,1604268,
2026-08-31T09:00:31.163669+00:00,exploration,510.4,1,1,1607444,
2026-08-31T09:01:01.476739+00:00,exploration,540.7,1,1,1610140,
2026-08-31T09:01:30.766682+00:00,exploration,570.0,1,1,1612852,
2026-08-31T09:02:01.057456+00:00,exploration,600.3,1,1,1617060,
2026-08-31T09:02:31.390256+00:00,exploration,630.6,1,1,1620244,
2026-08-31T09:03:01.735808+00:00,exploration,661.0,1,1,1623576,
2026-08-31T09:03:31.080001+00:00,exploration,690.3,1,1,1627100,
2026-08-31T09:04:01.426022+00:00,exploration,720.7,1,1,1630248,
2026-08-31T09:04:30.767545+00:00,exploration,750.0,1,1,1636716,
2026-08-31T09:05:01.077366+00:00,exploration,780.3,1,1,1642176,
2026-08-31T09:05:31.377116+00:00,exploration,810.7,1,1,1645488,
2026-08-31T09:06:01.678853+00:00,exploration,841.0,1,1,1648088,
2026-08-31T09:06:31.017894+00:00,exploration,870.3,1,1,1651108,
2026-08-31T09:07:01.348113+00:00,exploration,900.6,1,1,1655812,
2026-08-31T09:07:31.659904+00:00,exploration,930.9,1,1,1657684,
2026-08-31T09:08:00.995673+00:00,exploration,960.2,1,1,1663276,
2026-08-31T09:08:31.329512+00:00,exploration,990.6,1,1,1665116,
2026-08-31T09:09:01.663892+00:00,exploration,1020.9,1,1,1666680,
2026-08-31T09:09:30.970653+00:00,exploration,1050.2,1,1,1674276,
2026-08-31T09:10:01.263572+00:00,exploration,1080.5,1,1,1673928,
2026-08-31T09:10:31.603749+00:00,exploration,1110.8,1,1,1676940,
2026-08-31T09:11:00.958755+00:00,exploration,1140.2,1,1,1684576,
2026-08-31T09:11:31.328193+00:00,exploration,1170.5,1,1,1682340,
2026-08-31T09:12:01.625110+00:00,exploration,1200.9,1,1,1685252,
2026-08-31T09:12:30.934214+00:00,exploration,1230.2,1,1,1694828,
2026-08-31T09:13:01.224156+00:00,exploration,1260.5,1,1,1697892,
2026-08-31T09:13:31.550425+00:00,exploration,1290.8,1,1,1702404,
2026-08-31T09:14:00.880397+00:00,exploration,1320.1,1,1,1704316,
2026-08-31T09:14:31.185567+00:00,exploration,1350.5,1,1,1708828,
2026-08-31T09:15:01.504346+00:00,exploration,1380.8,1,1,1712984,
2026-08-31T09:15:30.838185+00:00,exploration,1410.1,1,1,1714728,
2026-08-31T09:16:01.129166+00:00,exploration,1440.4,1,1,1717416,
