wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-09-01T04:16:41.002403+00:00,mapping,0.0,1,1,1503856,
2026-09-01T04:16:54.190956+00:00,exploration,0.0,1,1,1510384,
2026-09-01T04:17:24.521976+00:00,exploration,30.3,1,1,1531308,
2026-09-01T04:17:54.845591+00:00,exploration,60.6,1,1,1537960,
2026-09-01T04:18:25.147961+00:00,exploration,90.9,1,1,1540956,
2026-09-01T04:18:54.447723+00:00,exploration,120.2,1,1,1545512,
2026-09-01T04:19:24.745744+00:00,exploration,150.5,1,1,1549376,
2026-09-01T04:19:55.046230+00:00,exploration,180.8,1,1,1552776,
2026-09-01T04:20:24.347333+00:00,exploration,210.1,1,1,1560980,
2026-09-01T04:20:54.690057+00:00,exploration,240.4,1,1,1562332,
2026-09-01T04:21:25.054107+00:00,exploration,270.8,1,1,1569972,
2026-09-01T04:21:54.351454+00:00,exploration,300.1,1,1,1576280,
2026-09-01T04:22:24.650534+00:00,exploration,330.4,1,1,1581800,
2026-09-01T04:22:54.937898+00:00,exploration,360.7,1,1,1585124,
2026-09-01T04:23:24.248490+00:00,exploration,390.0,1,1,1591512,
2026-09-01T04:23:54.549331+00:00,exploration,420.3,1,1,1595496,
2026-09-01T04:24:24.842668+00:00,exploration,450.6,1,1,1599608,
2026-09-01T04:24:55.148743+00:00,exploration,480.9,1,1,1603148,
2026-09-01T04:25:24.438155+00:00,exploration,510.2,1,1,1606164,
2026-09-01T04:25:54.786068+00:00,exploration,540.5,1,1,1610160,
2026-09-01T04:26:25.126414+00:00,exploration,570.9,1,1,1613756,
2026-09-01T04:26:54.458272+00:00,exploration,600.2,1,1,1613340,
2026-09-01T04:27:24.788365+00:00,exploration,630.6,1,1,1615184,
2026-09-01T04:27:55.084524+00:00,exploration,660.9,1,1,1626012,
2026-09-01T04:28:24.384694+00:00,exploration,690.2,1,1,1631256,
2026-09-01T04:28:54.679975+00:00,exploration,720.5,1,1,1634472,
2026-09-01T04:29:24.977202+00:00,exploration,750.8,1,1,1637256,
2026-09-01T04:29:54.265883+00:00,exploration,780.1,1,1,1638100,
2026-09-01T04:30:24.558050+00:00,exploration,810.4,1,1,1641228,
2026-09-01T04:30:54.869336+00:00,exploration,840.6,1,1,1645912,
2026-09-01T04:31:25.208166+00:00,exploration,871.0,1,1,1649808,
2026-09-01T04:31:54.493475+00:00,exploration,900.3,1,1,1653464,
2026-09-01T04:32:24.840892+00:00,exploration,930.6,1,1,1656832,
2026-09-01T04:32:55.138487+00:00,exploration,960.9,1,1,1661616,
2026-09-01T04:33:24.483242+00:00,exploration,990.2,1,1,1662964,
2026-09-01T04:33:54.844106+00:00,exploration,1020.6,1,1,1666836,
2026-09-01T04:34:25.140432+00:00,exploration,1050.9,1,1,1671160,
2026-09-01T04:34:54.427376+00:00,exploration,1080.2,1,1,1674160,
2026-09-01T04:35:24.756674+00:00,exploration,1110.5,1,1,1677068,
2026-09-01T04:35:55.087486+00:00,exploration,1140.9,1,1,1680816,
2026-09-01T04:36:24.412616+00:00,exploration,1170.2,1,1,1683236,
2026-09-01T04:36:54.745980+00:00,exploration,1200.5,1,1,1679472,
2026-09-01T04:37:25.082700+00:00,exploration,1230.8,1,1,1681872,
2026-09-01T04:37:54.388127+00:00,exploration,1260.2,1,1,1684444,
2026-09-01T04:38:24.669702+00:00,exploration,1290.5,1,1,1696604,
2026-09-01T04:38:55.000917+00:00,exploration,1320.8,1,1,1695968,
2026-09-01T04:39:24.301756+00:00,exploration,1350.1,1,1,1700708,
2026-09-01T04:39:54.638235+00:00,exploration,1380.4,1,1,1704208,
2026-09-01T04:40:24.945366+00:00,exploration,1410.7,1,1,1711108,
2026-09-01T04:40:54.270607+00:00,exploration,1440.0,1,1,1714540,
2026-09-01T04:41:24.560764+00:00,exploration,1470.4,1,1,1719204,
2026-09-01T04:41:54.895305+00:00,exploration,1500.7,1,1,1726692,
2026-09-01T04:42:25.199069+00:00,exploration,1531.0,1,1,1728464,
2026-09-01T04:42:54.484163+00:00,exploration,1560.3,1,1,1731716,
