wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-09-01T05:57:48.377520+00:00,mapping,0.0,1,1,1731220,
2026-09-01T05:58:01.575550+00:00,exploration,0.0,1,1,1745264,
2026-09-01T05:58:31.904497+00:00,exploration,30.3,1,1,1755616,
2026-09-01T05:59:02.200181+00:00,exploration,60.7,1,1,1762788,
2026-09-01T05:59:32.508946+00:00,exploration,91.0,1,1,1767776,
2026-09-01T06:00:01.806382+00:00,exploration,120.3,1,1,1768152,
2026-09-01T06:00:32.133328+00:00,exploration,150.6,1,1,1769184,
2026-09-01T06:01:02.438098+00:00,exploration,180.9,1,1,1771656,
2026-09-01T06:01:31.771669+00:00,exploration,210.2,1,1,1773328,
2026-09-01T06:02:02.073144+00:00,exploration,240.5,1,1,1776472,
2026-09-01T06:02:32.349411+00:00,exploration,270.8,1,1,1786464,
2026-09-01T06:03:01.659693+00:00,exploration,300.1,1,1,1784468,
2026-09-01T06:03:31.990210+00:00,exploration,330.4,1,1,1789340,
2026-09-01T06:04:02.274742+00:00,exploration,360.8,1,1,1791740,
2026-09-01T06:04:31.576554+00:00,exploration,390.0,1,1,1797060,
2026-09-01T06:05:01.873897+00:00,exploration,420.3,1,1,1798960,
2026-09-01T06:05:32.186726+00:00,exploration,450.6,1,1,1802020,
2026-09-01T06:06:02.519070+00:00,exploration,481.0,1,1,1806260,
2026-09-01T06:06:31.842452+00:00,exploration,510.3,1,1,1808248,
2026-09-01T06:07:02.142919+00:00,exploration,540.6,1,1,1813480,
2026-09-01T06:07:32.457556+00:00,exploration,570.9,1,1,1819292,
2026-09-01T06:08:01.787137+00:00,exploration,600.2,1,1,1821792,
2026-09-01T06:08:32.086913+00:00,exploration,630.6,1,1,1822296,
2026-09-01T06:09:02.416348+00:00,exploration,660.9,1,1,1824084,
2026-09-01T06:09:31.717584+00:00,exploration,690.2,1,1,1827472,
2026-09-01T06:10:02.042871+00:00,exploration,720.5,1,1,1832052,
2026-09-01T06:10:32.366856+00:00,exploration,750.8,1,1,1835404,
2026-09-01T06:11:01.707129+00:00,exploration,780.1,1,1,1838772,
2026-09-01T06:11:32.011616+00:00,exploration,810.5,1,1,1842356,
2026-09-01T06:12:02.307596+00:00,exploration,840.8,1,1,1844180,
2026-09-01T06:12:31.599531+00:00,exploration,870.1,1,1,1855832,
2026-09-01T06:13:01.884738+00:00,exploration,900.4,1,1,1855104,
2026-09-01T06:13:32.181377+00:00,exploration,930.6,1,1,1856696,
2026-09-01T06:14:02.513718+00:00,exploration,960.9,1,1,1858576,
2026-09-01T06:14:31.844810+00:00,exploration,990.3,1,1,1862572,
2026-09-01T06:15:02.169374+00:00,exploration,1020.6,1,1,1863456,
2026-09-01T06:15:32.474597+00:00,exploration,1050.9,1,1,1865368,
2026-09-01T06:16:01.802894+00:00,exploration,1080.2,1,1,1868712,
2026-09-01T06:16:32.143620+00:00,exploration,1110.6,1,1,1869832,
2026-09-01T06:17:02.436634+00:00,exploration,1140.9,1,1,1871624,
2026-09-01T06:17:31.765487+00:00,exploration,1170.2,1,1,1877036,
2026-09-01T06:18:02.064597+00:00,exploration,1200.5,1,1,1879916,
2026-09-01T06:18:32.350910+00:00,exploration,1230.8,1,1,1878728,
2026-09-01T06:19:01.632430+00:00,exploration,1260.1,1,1,1881872,
2026-09-01T06:19:31.965131+00:00,exploration,1290.4,1,1,1885368,
2026-09-01T06:20:02.316751+00:00,exploration,1320.7,1,1,1884760,
2026-09-01T06:20:31.652612+00:00,exploration,1350.1,1,1,1888832,
2026-09-01T06:21:01.983412+00:00,exploration,1380.4,1,1,1889124,
2026-09-01T06:21:32.278161+00:00,exploration,1410.7,1,1,1891620,
2026-09-01T06:22:01.605807+00:00,exploration,1440.0,1,1,1895284,
2026-09-01T06:22:31.933350+00:00,exploration,1470.4,1,1,1903016,
2026-09-01T06:23:02.263870+00:00,exploration,1500.7,1,1,1904956,
2026-09-01T06:23:31.558828+00:00,exploration,1530.0,1,1,1907520,
2026-09-01T06:24:01.895850+00:00,exploration,1560.3,1,1,1911444,
2026-09-01T06:24:32.190019+00:00,exploration,1590.7,1,1,1914048,
2026-09-01T06:25:02.523821+00:00,exploration,1621.0,1,1,1917032,
2026-09-01T06:25:31.814121+00:00,exploration,1650.3,1,1,1919516,
2026-09-01T06:26:02.112781+00:00,exploration,1680.6,1,1,1921108,
2026-09-01T06:26:32.416870+00:00,exploration,1710.9,1,1,1926568,
2026-09-01T06:27:01.710304+00:00,exploration,1740.2,1,1,1929676,
2026-09-01T06:27:32.010401+00:00,exploration,1770.5,1,1,1929876,
2026-09-01T06:28:02.327767+00:00,exploration,1800.8,1,1,1931296,
2026-09-01T06:28:31.629263+00:00,exploration,1830.1,1,1,1933060,
2026-09-01T06:29:01.913904+00:00,exploration,1860.4,1,1,1935012,
2026-09-01T06:29:32.198662+00:00,exploration,1890.7,1,1,1937404,
2026-09-01T06:30:02.536022+00:00,exploration,1921.0,1,1,1950172,
2026-09-01T06:30:31.859614+00:00,exploration,1950.3,1,1,1951828,
2026-09-01T06:31:02.195247+00:00,exploration,1980.6,1,1,1957004,
2026-09-01T06:31:32.521451+00:00,exploration,2011.0,1,1,1960232,
2026-09-01T06:32:01.856707+00:00,exploration,2040.3,1,1,1962688,
2026-09-01T06:32:32.190002+00:00,exploration,2070.6,1,1,1963984,
2026-09-01T06:33:02.528333+00:00,exploration,2101.0,1,1,1962972,
2026-09-01T06:33:31.866813+00:00,exploration,2130.3,1,1,1966424,
2026-09-01T06:34:02.153328+00:00,exploration,2160.6,1,1,1970320,
2026-09-01T06:34:32.444503+00:00,exploration,2190.9,1,1,1978508,
2026-09-01T06:35:01.746345+00:00,exploration,2220.2,1,1,1977496,
2026-09-01T06:35:32.033582+00:00,exploration,2250.5,1,1,1983192,
2026-09-01T06:36:02.352463+00:00,exploration,2280.8,1,1,1985388,
2026-09-01T06:36:31.650140+00:00,exploration,2310.1,1,1,1987336,
2026-09-01T06:37:01.974714+00:00,exploration,2340.4,1,1,1987236,
2026-09-01T06:37:32.305923+00:00,exploration,2370.7,1,1,1988944,
2026-09-01T06:38:01.639651+00:00,exploration,2400.1,1,1,1992872,
2026-09-01T06:38:31.926963+00:00,exploration,2430.4,1,1,1999576,
2026-09-01T06:39:02.259486+00:00,exploration,2460.7,1,1,1996384,
2026-09-01T06:39:31.555432+00:00,exploration,2490.0,1,1,1999156,
2026-09-01T06:40:01.844024+00:00,exploration,2520.3,1,1,2001632,
2026-09-01T06:40:32.128884+00:00,exploration,2550.6,1,1,1998696,
2026-09-01T06:41:02.454807+00:00,exploration,2580.9,1,1,2000100,
2026-09-01T06:41:31.777728+00:00,exploration,2610.2,1,1,2003036,
2026-09-01T06:42:02.080343+00:00,exploration,2640.5,1,1,2006768,
2026-09-01T06:42:32.379418+00:00,exploration,2670.8,1,1,2008408,
2026-09-01T06:43:01.703432+00:00,exploration,2700.1,1,1,2007836,
2026-09-01T06:43:32.001385+00:00,exploration,2730.5,1,1,2009964,
2026-09-01T06:44:02.308143+00:00,exploration,2760.8,1,1,2012476,
2026-09-01T06:44:31.642630+00:00,exploration,2790.1,1,1,2016132,
2026-09-01T06:45:01.954966+00:00,exploration,2820.4,1,1,2018360,
2026-09-01T06:45:32.238305+00:00,exploration,2850.7,1,1,2019296,
2026-09-01T06:46:01.562704+00:00,exploration,2880.0,1,1,2021164,
2026-09-01T06:46:31.847660+00:00,exploration,2910.3,1,1,2023160,
2026-09-01T06:47:02.148837+00:00,exploration,2940.6,1,1,2026084,
2026-09-01T06:47:32.482740+00:00,exploration,2970.9,1,1,2029556,
2026-09-01T06:48:01.762065+00:00,exploration,3000.2,1,1,2028120,
2026-09-01T06:48:32.075699+00:00,exploration,3030.5,1,1,2031556,
2026-09-01T06:49:02.370102+00:00,exploration,3060.8,1,1,2033628,
2026-09-01T06:49:31.665976+00:00,exploration,3090.1,1,1,2033232,
2026-09-01T06:50:01.957073+00:00,exploration,3120.4,1,1,2036052,
2026-09-01T06:50:32.296479+00:00,exploration,3150.7,1,1,2038020,
2026-09-01T06:51:01.626706+00:00,exploration,3180.1,1,1,2039316,
2026-09-01T06:51:31.942827+00:00,exploration,3210.4,1,1,2043468,
2026-09-01T06:52:02.232041+00:00,exploration,3240.7,1,1,2044448,
2026-09-01T06:52:32.530814+00:00,exploration,3271.0,1,1,2046732,
2026-09-01T06:53:01.818738+00:00,exploration,3300.3,1,1,2048092,
2026-09-01T06:53:32.151878+00:00,exploration,3330.6,1,1,2049988,
2026-09-01T06:54:02.456221+00:00,exploration,3360.9,1,1,2051860,
2026-09-01T06:54:31.777107+00:00,exploration,3390.2,1,1,2052500,
2026-09-01T06:55:02.149064+00:00,exploration,3420.5,1,1,2056840,
2026-09-01T06:55:32.482382+00:00,exploration,3450.9,1,1,2058140,
2026-09-01T06:56:01.813133+00:00,exploration,3480.2,1,1,2062400,
2026-09-01T06:56:32.113471+00:00,exploration,3510.6,1,1,2066044,
2026-09-01T06:57:02.466039+00:00,exploration,3540.9,1,1,2071716,
2026-09-01T06:57:31.796655+00:00,exploration,3570.2,1,1,2077476,
2026-09-01T06:58:02.084976+00:00,exploration,3600.6,1,1,2080056,
2026-09-01T06:58:32.371264+00:00,exploration,3630.8,1,1,2079400,
2026-09-01T06:59:01.718076+00:00,exploration,3660.1,1,1,2085416,
2026-09-01T06:59:32.056873+00:00,exploration,3690.5,1,1,2086912,
2026-09-01T07:00:02.402430+00:00,exploration,3720.8,1,1,2089852,
2026-09-01T07:00:31.707159+00:00,exploration,3750.2,1,1,2102080,
2026-09-01T07:01:02.045322+00:00,exploration,3780.5,1,1,2103984,
2026-09-01T07:01:32.350168+00:00,exploration,3810.8,1,1,2100612,
2026-09-01T07:02:01.679095+00:00,exploration,3840.1,1,1,2107148,
2026-09-01T07:02:32.006815+00:00,exploration,3870.4,1,1,2106960,
2026-09-01T07:03:02.337646+00:00,exploration,3900.8,1,1,2109388,
2026-09-01T07:03:31.665896+00:00,exploration,3930.1,1,1,2112816,
2026-09-01T07:04:01.958792+00:00,exploration,3960.4,1,1,2109892,
2026-09-01T07:04:32.312392+00:00,exploration,3990.7,1,1,2114228,
2026-09-01T07:05:01.623777+00:00,exploration,4020.1,1,1,2119804,
2026-09-01T07:05:31.960777+00:00,exploration,4050.4,1,1,2118568,
2026-09-01T07:06:02.294187+00:00,exploration,4080.7,1,1,2124212,
