wall_time_utc,stage,elapsed_wall_s,launch_alive,observer_alive,rss_kb,missing_core_nodes
2026-09-01T08:32:46.750206+00:00,mapping,0.0,1,1,1730572,
2026-09-01T08:32:59.976540+00:00,exploration,0.0,1,1,1744656,
2026-09-01T08:33:30.349490+00:00,exploration,30.3,1,1,1757112,
2026-09-01T08:34:00.688050+00:00,exploration,60.7,1,1,1763304,
2026-09-01T08:34:29.995481+00:00,exploration,90.0,1,1,1767576,
2026-09-01T08:35:00.329127+00:00,exploration,120.3,1,1,1769432,
2026-09-01T08:35:30.666173+00:00,exploration,150.7,1,1,1774316,
2026-09-01T08:35:59.972003+00:00,exploration,180.0,1,1,1771872,
2026-09-01T08:36:30.266461+00:00,exploration,210.3,1,1,1774452,
2026-09-01T08:37:00.615182+00:00,exploration,240.6,1,1,1776784,
2026-09-01T08:37:30.956194+00:00,exploration,271.0,1,1,1784516,
2026-09-01T08:38:00.274252+00:00,exploration,300.3,1,1,1785248,
2026-09-01T08:38:30.586011+00:00,exploration,330.6,1,1,1787996,
2026-09-01T08:39:00.886983+00:00,exploration,360.9,1,1,1792508,
2026-09-01T08:39:30.202041+00:00,exploration,390.2,1,1,1796544,
2026-09-01T08:40:00.567777+00:00,exploration,420.6,1,1,1800864,
2026-09-01T08:40:30.902520+00:00,exploration,450.9,1,1,1804632,
2026-09-01T08:41:00.193043+00:00,exploration,480.3,1,1,1807712,
2026-09-01T08:41:30.539997+00:00,exploration,510.5,1,1,1810700,
2026-09-01T08:42:00.840120+00:00,exploration,540.9,1,1,1813528,
2026-09-01T08:42:30.170559+00:00,exploration,570.2,1,1,1817740,
2026-09-01T08:43:00.473268+00:00,exploration,600.5,1,1,1821588,
2026-09-01T08:43:30.811076+00:00,exploration,630.8,1,1,1824908,
2026-09-01T08:44:00.112911+00:00,exploration,660.2,1,1,1832640,
2026-09-01T08:44:30.439699+00:00,exploration,690.5,1,1,1836252,
2026-09-01T08:45:00.784860+00:00,exploration,720.8,1,1,1838796,
2026-09-01T08:45:30.068831+00:00,exploration,750.1,1,1,1845204,
2026-09-01T08:46:00.442411+00:00,exploration,780.4,1,1,1843872,
2026-09-01T08:46:30.769304+00:00,exploration,810.8,1,1,1847376,
2026-09-01T08:47:00.057073+00:00,exploration,840.1,1,1,1850684,
2026-09-01T08:47:30.382426+00:00,exploration,870.4,1,1,1855680,
2026-09-01T08:48:00.712465+00:00,exploration,900.7,1,1,1857956,
2026-09-01T08:48:30.048826+00:00,exploration,930.1,1,1,1860936,
2026-09-01T08:49:00.345100+00:00,exploration,960.4,1,1,1862468,
2026-09-01T08:49:30.680358+00:00,exploration,990.7,1,1,1866748,
2026-09-01T08:49:59.974705+00:00,exploration,1020.0,1,1,1868828,
2026-09-01T08:50:30.266832+00:00,exploration,1050.3,1,1,1871052,
2026-09-01T08:51:00.555081+00:00,exploration,1080.6,1,1,1873528,
2026-09-01T08:51:30.852526+00:00,exploration,1110.9,1,1,1874804,
2026-09-01T08:52:00.187424+00:00,exploration,1140.2,1,1,1880636,
2026-09-01T08:52:30.486327+00:00,exploration,1170.5,1,1,1882352,
2026-09-01T08:53:00.817387+00:00,exploration,1200.8,1,1,1885648,
2026-09-01T08:53:30.106525+00:00,exploration,1230.2,1,1,1889260,
2026-09-01T08:54:00.437329+00:00,exploration,1260.5,1,1,1894476,
2026-09-01T08:54:30.731782+00:00,exploration,1290.8,1,1,1894812,
2026-09-01T08:55:00.061583+00:00,exploration,1320.1,1,1,1900148,
2026-09-01T08:55:30.387696+00:00,exploration,1350.4,1,1,1902856,
2026-09-01T08:56:00.692158+00:00,exploration,1380.7,1,1,1906812,
2026-09-01T08:56:30.020697+00:00,exploration,1410.0,1,1,1909436,
2026-09-01T08:57:00.304203+00:00,exploration,1440.4,1,1,1913132,
2026-09-01T08:57:30.613096+00:00,exploration,1470.7,1,1,1915852,
2026-09-01T08:58:00.948005+00:00,exploration,1501.0,1,1,1923880,
2026-09-01T08:58:30.282961+00:00,exploration,1530.3,1,1,1924520,
2026-09-01T08:59:00.577444+00:00,exploration,1560.6,1,1,1926592,
2026-09-01T08:59:30.875523+00:00,exploration,1590.9,1,1,1929564,
2026-09-01T09:00:00.197059+00:00,exploration,1620.2,1,1,1932268,
2026-09-01T09:00:30.502705+00:00,exploration,1650.5,1,1,1934272,
2026-09-01T09:01:00.817527+00:00,exploration,1680.9,1,1,1935640,
2026-09-01T09:01:30.115311+00:00,exploration,1710.2,1,1,1937336,
2026-09-01T09:02:00.440843+00:00,exploration,1740.5,1,1,1941460,
2026-09-01T09:02:30.774231+00:00,exploration,1770.8,1,1,1932504,
2026-09-01T09:03:00.108803+00:00,exploration,1800.1,1,1,1938408,
2026-09-01T09:03:30.435337+00:00,exploration,1830.5,1,1,1940344,
2026-09-01T09:04:00.769255+00:00,exploration,1860.8,1,1,1942324,
2026-09-01T09:04:30.053839+00:00,exploration,1890.1,1,1,1947172,
2026-09-01T09:05:00.391724+00:00,exploration,1920.4,1,1,1952388,
2026-09-01T09:05:30.721999+00:00,exploration,1950.7,1,1,1955424,
2026-09-01T09:06:00.010437+00:00,exploration,1980.1,1,1,1958552,
2026-09-01T09:06:30.301751+00:00,exploration,2010.4,1,1,1960276,
2026-09-01T09:07:00.633018+00:00,exploration,2040.7,1,1,1962940,
2026-09-01T09:07:30.932701+00:00,exploration,2071.0,1,1,1967756,
