map,seed,condition,method,selection_order,loop_id,loop_vertex,baseline_anchor_scan,h_star_ids,h_star_size,oracle_mode_used_by_h_star,local_roi_center_x,local_roi_center_y,local_roi_radius_m
map3,21001,A,Original,1,1,15,165,"[165, 166, 167, 168, 169, 170, 171]",7,False,21.833333333333336,58.0625,5.0
map3,21001,A,Original,2,2,11,193,"[193, 194, 195, 196, 197, 198, 199]",7,False,10.527777777777779,33.65277777777778,5.0
map3,21001,A,Original,3,3,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,False,-2.833333333333332,-2.319444444444443,5.0
map3,21001,A,Original,4,4,26,407,"[407, 408, 409, 410, 411, 412, 413]",7,False,46.5,21.319444444444443,5.0
map3,21001,B,Always-Trace,1,1,15,158,"[158, 159, 160, 161, 162, 163, 164]",7,False,21.833333333333336,58.0625,5.0
map3,21001,B,Always-Trace,2,2,11,186,"[186, 187, 188, 189, 190, 191, 192]",7,False,10.527777777777779,33.65277777777778,5.0
map3,21001,B,Always-Trace,3,3,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,False,-2.833333333333332,-2.319444444444443,5.0
map3,21001,B,Always-Trace,4,4,26,472,"[472, 473, 474, 475, 476, 477, 478]",7,False,46.5,21.319444444444443,5.0
map3,21001,C,Selective,1,1,15,147,"[147, 148, 149, 150, 151, 152, 153]",7,False,21.833333333333336,58.0625,5.0
map3,21001,C,Selective,2,2,11,174,"[174, 175, 176, 177, 178, 179, 180]",7,False,10.527777777777779,33.65277777777778,5.0
map3,21001,C,Selective,3,3,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,False,-2.833333333333332,-2.319444444444443,5.0
map3,21001,C,Selective,4,4,26,378,"[378, 379, 380, 381, 382, 383, 384]",7,False,46.5,21.319444444444443,5.0
map3,21002,A,Original,1,1,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,False,-2.833333333333332,-2.319444444444443,5.0
map3,21002,A,Original,2,2,38,228,"[228, 229, 230, 231, 232, 233, 234]",7,False,34.166666666666664,21.319444444444443,5.0
map3,21002,A,Original,3,3,16,167,"[167, 168, 169, 170, 171, 172, 173]",7,False,21.833333333333336,45.986111111111114,5.0
map3,21002,B,Always-Trace,1,1,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,False,-2.833333333333332,-2.319444444444443,5.0
map3,21002,B,Always-Trace,2,2,38,219,"[219, 220, 221, 222, 223, 224, 225]",7,False,34.166666666666664,21.319444444444443,5.0
