map,seed,planned_active_loop_actions,selected_loop_vertex_sequence,initial_tsp_hash,full_tsp_hash,initial_tsp_path,full_tsp_path,performance_exploration_run
map4,21001,1,[14],cc9348dbed20cd06d69c6c814f47e7c2589beb635726ed1522a2dc1dfc3b82db,5722f8cdc816d9ba739b0d8c3d126be822eaed6d10d91be19ec356fd24ae3764,"[14, 13, 12, 11, 4, 5, 3, 6, 7, 8, 9, 10, 17, 18, 15, 16]","[14, 13, 12, 11, 4, 5, 4, 3, 6, 7, 8, 7, 6, 9, 10, 17, 18, 15, 16]",False
map4,21002,1,[14],53f33e07858388be23a50e1aab607084da21078277bdc84ca7e97646306e3a8c,5722f8cdc816d9ba739b0d8c3d126be822eaed6d10d91be19ec356fd24ae3764,"[14, 13, 12, 11, 4, 5, 3, 8, 7, 6, 9, 10, 17, 18, 15, 16]","[14, 13, 12, 11, 4, 5, 4, 3, 6, 7, 8, 7, 6, 9, 10, 17, 18, 15, 16]",False
map4,21003,1,[14],53f33e07858388be23a50e1aab607084da21078277bdc84ca7e97646306e3a8c,5722f8cdc816d9ba739b0d8c3d126be822eaed6d10d91be19ec356fd24ae3764,"[14, 13, 12, 11, 4, 5, 3, 8, 7, 6, 9, 10, 17, 18, 15, 16]","[14, 13, 12, 11, 4, 5, 4, 3, 6, 7, 8, 7, 6, 9, 10, 17, 18, 15, 16]",False
map4,21004,1,[14],cc9348dbed20cd06d69c6c814f47e7c2589beb635726ed1522a2dc1dfc3b82db,5722f8cdc816d9ba739b0d8c3d126be822eaed6d10d91be19ec356fd24ae3764,"[14, 13, 12, 11, 4, 5, 3, 6, 7, 8, 9, 10, 17, 18, 15, 16]","[14, 13, 12, 11, 4, 5, 4, 3, 6, 7, 8, 7, 6, 9, 10, 17, 18, 15, 16]",False
map4,21005,1,[14],8a92be3d685e3c9f249b8f4d4a42b08a67bec5050d2c6762d354d490d2624714,5722f8cdc816d9ba739b0d8c3d126be822eaed6d10d91be19ec356fd24ae3764,"[14, 13, 12, 11, 4, 5, 3, 6, 8, 7, 9, 10, 17, 18, 15, 16]","[14, 13, 12, 11, 4, 5, 4, 3, 6, 7, 8, 7, 6, 9, 10, 17, 18, 15, 16]",False
map7,21001,1,[13],f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,"[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]","[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]",False
map7,21002,1,[13],f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,"[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]","[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]",False
map7,21003,1,[13],f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,"[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]","[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]",False
map7,21004,1,[13],f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,"[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]","[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]",False
map7,21005,1,[13],f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,f64a843cf1445aa0fc440a56192beff7bad6a8b52f412fd904a121d14bf05ac8,"[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]","[2, 7, 8, 6, 5, 4, 3, 11, 12, 13, 10, 9, 16, 17, 18, 19, 20, 24, 23, 22, 21, 15, 14]",False
map8,21001,3,"[20, 38, 35]",db5623a40ea4e792b0f2dd1ec74179345f568bd72ebe4148e3801da8924be595,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,"[20, 37, 12, 16, 15, 14, 13, 17, 11, 18, 10, 36, 9, 8, 0, 35, 1, 6, 19, 38, 26, 22, 21, 24, 23, 25, 27, 31, 29, 32, 30, 28, 33, 7, 5, 4, 3, 34, 2]","[20, 37, 17, 12, 17, 16, 15, 14, 15, 13, 17, 11, 18, 10, 36, 9, 36, 8, 0, 35, 1, 35, 6, 19, 38, 26, 21, 22, 21, 24, 21, 23, 21, 25, 27, 31, 32, 29, 32, 30, 32, 28, 33, 7, 5, 4, 3, 34, 2]",False
map8,21002,3,"[20, 38, 35]",b447c5d3e623ad981e240b2a9305545145a8a7b1132133f7fbc763bc0121f6b0,682670805a1c55655e9b441a8f1daa49014faf9958e7c00cda068c738f4bb289,"[20, 37, 16, 15, 14, 13, 17, 12, 11, 18, 10, 9, 36, 8, 0, 35, 1, 6, 19, 38, 26, 21, 22, 23, 24, 25, 27, 31, 29, 32, 30, 28, 33, 7, 5, 4, 3, 34, 2]","[20, 37, 17, 16, 15, 14, 15, 13, 17, 12, 17, 11, 18, 10, 36, 9, 36, 8, 0, 35, 1, 35, 6, 19, 38, 26, 21, 22, 21, 23, 21, 24, 21, 25, 27, 31, 32, 29, 32, 30, 32, 28, 33, 7, 5, 4, 3, 34, 2]",False
map8,21003,3,"[20, 38, 35]",4a77e0b053b9b48e9aaf855e418dce563355013a265d77e9a95b7e396c5386a6,55d42405f38b899c854ee2cf20866e82c5c66eeece935c653635b2779fb7c3a6,"[20, 37, 17, 12, 16, 15, 14, 13, 11, 18, 10, 36, 9, 8, 0, 35, 1, 6, 19, 38, 26, 22, 21, 24, 23, 25, 27, 31, 29, 32, 30, 28, 33, 7, 5, 4, 3, 34, 2]","[20, 37, 17, 12, 17, 16, 15, 14, 15, 13, 17, 11, 18, 10, 36, 9, 36, 8, 0, 35, 1, 35, 6, 19, 38, 26, 21, 22, 21, 24, 21, 23, 21, 25, 27, 31, 32, 29, 32, 30, 32, 28, 33, 7, 5, 4, 3, 34, 2]",False
map8,21004,3,"[20, 38, 35]",845297a0ffd2b7b13a8ef7fb4cd7977270b6d94ad08bf5e4cc76e67257afdc2a,5bb402db4b5d73acbec072d62b22178b525edb6db5a362049adc2540728926a2,"[20, 37, 17, 12, 16, 15, 14, 13, 11, 18, 10, 9, 36, 8, 0, 1, 35, 6, 19, 38, 26, 21, 23, 22, 24, 25, 27, 31, 29, 32, 30, 28, 33, 7, 5, 4, 3, 34, 2]","[20, 37, 17, 12, 17, 16, 15, 14, 15, 13, 17, 11, 18, 10, 36, 9, 36, 8, 0, 35, 1, 35, 6, 19, 38, 26, 21, 23, 21, 22, 21, 24, 21, 25, 27, 31, 32, 29, 32, 30, 32, 28, 33, 7, 5, 4, 3, 34, 2]",False
map8,21005,3,"[20, 38, 35]",bc6fad1a08fa941b99f19abba5efcfab533c42d60e1ebf539a9675b44dd29fb1,610bc6cf39d3555a107100ae1991adfd46d567c3fa8e89375679aabc45bba532,"[20, 37, 16, 14, 15, 13, 12, 17, 11, 18, 10, 9, 36, 8, 0, 35, 1, 6, 19, 38, 26, 21, 24, 22, 23, 25, 27, 31, 29, 30, 32, 28, 33, 7, 5, 4, 3, 34, 2]","[20, 37, 17, 16, 15, 14, 15, 13, 17, 12, 17, 11, 18, 10, 36, 9, 36, 8, 0, 35, 1, 35, 6, 19, 38, 26, 21, 24, 21, 22, 21, 23, 21, 25, 27, 31, 32, 29, 32, 30, 32, 28, 33, 7, 5, 4, 3, 34, 2]",False
