map,seed,order_index,condition,method,oracle_mode,tsp_seed,status
map4,21001,1,A,Original,0,21001,NOT_STARTED
map4,21001,2,B,Always-Trace,1,21001,NOT_STARTED
map4,21001,3,C,Selective,2,21001,NOT_STARTED
map4,21002,1,B,Always-Trace,1,21002,NOT_STARTED
map4,21002,2,C,Selective,2,21002,NOT_STARTED
map4,21002,3,A,Original,0,21002,NOT_STARTED
map4,21003,1,C,Selective,2,21003,NOT_STARTED
map4,21003,2,A,Original,0,21003,NOT_STARTED
map4,21003,3,B,Always-Trace,1,21003,NOT_STARTED
map4,21004,1,A,Original,0,21004,NOT_STARTED
map4,21004,2,C,Selective,2,21004,NOT_STARTED
map4,21004,3,B,Always-Trace,1,21004,NOT_STARTED
map4,21005,1,B,Always-Trace,1,21005,NOT_STARTED
map4,21005,2,A,Original,0,21005,NOT_STARTED
map4,21005,3,C,Selective,2,21005,NOT_STARTED
map7,21001,1,A,Original,0,21001,NOT_STARTED
map7,21001,2,B,Always-Trace,1,21001,NOT_STARTED
map7,21001,3,C,Selective,2,21001,NOT_STARTED
map7,21002,1,B,Always-Trace,1,21002,NOT_STARTED
map7,21002,2,C,Selective,2,21002,NOT_STARTED
map7,21002,3,A,Original,0,21002,NOT_STARTED
map7,21003,1,C,Selective,2,21003,NOT_STARTED
map7,21003,2,A,Original,0,21003,NOT_STARTED
map7,21003,3,B,Always-Trace,1,21003,NOT_STARTED
map7,21004,1,A,Original,0,21004,NOT_STARTED
map7,21004,2,C,Selective,2,21004,NOT_STARTED
map7,21004,3,B,Always-Trace,1,21004,NOT_STARTED
map7,21005,1,B,Always-Trace,1,21005,NOT_STARTED
map7,21005,2,A,Original,0,21005,NOT_STARTED
map7,21005,3,C,Selective,2,21005,NOT_STARTED
