map,seed,condition,method,executed_active_loops,target_attributable_active_loops,target_attributable_acceptance_rate
map3,21001,A,Original,4,0,0.0
map3,21001,B,Always-Trace,4,0,0.0
map3,21001,C,Selective,4,0,0.0
map3,21002,A,Original,3,0,0.0
map3,21002,B,Always-Trace,3,0,0.0
map3,21002,C,Selective,3,0,0.0
map3,21003,A,Original,4,0,0.0
map3,21003,B,Always-Trace,4,0,0.0
map3,21003,C,Selective,4,1,0.25
map3,21004,A,Original,5,0,0.0
map3,21004,B,Always-Trace,5,2,0.4
map3,21004,C,Selective,5,0,0.0
map3,21005,A,Original,5,0,0.0
map3,21005,B,Always-Trace,5,0,0.0
map3,21005,C,Selective,5,1,0.2
